race_id,race_date,track,race_no,race_type,ticket_type,bet_code,combination,payout_yen,popularity,status,result_source_url,result_source,captured_at_utc,raw_text
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,2車単,exacta,3-5,730,3,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,3-5 730円 (3)
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,2枠単,frame_exacta,,,,not_offered,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,未発売
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,2枠複,frame_quinella,,,,not_offered,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,未発売
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,2車複,quinella,3=5,470,2,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,3=5 470円 (2)
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,3連単,trifecta,3-5-2,3120,12,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,"3-5-2 3,120円 (12)"
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,3連複,trio,2=3=5,1540,6,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,"2=3=5 1,540円 (6)"
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,ワイド,wide,2=3,620,8,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,2=3 620円 (8)
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,ワイド,wide,2=5,1240,11,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,"2=5 1,240円 (11)"
2420240401010006,2024-04-01,宇都宮競輪,6,Ｓ級予選,ワイド,wide,3=5,250,3,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:52.400979+00:00,3=5 250円 (3)
2420240401010007,2024-04-01,宇都宮競輪,7,Ｓ級予選,2車単,exacta,4-1,360,2,paid,https://keirin.kdreams.jp/utsunomiya/racedetail/2420240401010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-31T04:43:54.743314+00:00,4-1 360円 (2)
