race_id,race_date,track,race_no,race_type,odds_source_url,error
2820241022010011,2024-10-22,立川競輪,11,Ｓ級予選,https://keirin.kdreams.jp/tachikawa/racedetail/2820241022010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
3120241030030007,2024-11-01,松戸競輪,7,Ｓ級一般,https://keirin.kdreams.jp/matsudo/racedetail/3120241030030007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
5620241105020008,2024-11-06,岸和田競輪,8,Ｓ級選抜,https://keirin.kdreams.jp/kishiwada/racedetail/5620241105020008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
8420241105020009,2024-11-06,武雄競輪,9,Ｓ級選抜,https://keirin.kdreams.jp/takeo/racedetail/8420241105020009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
4320241111010010,2024-11-11,岐阜競輪,10,Ｓ級予選,https://keirin.kdreams.jp/gifu/racedetail/4320241111010010/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
5320241114020009,2024-11-15,奈良競輪,9,Ｓ級一般,https://keirin.kdreams.jp/nara/racedetail/5320241114020009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
1320241130010011,2024-11-30,いわき平競輪,11,Ｓ級予選,https://keirin.kdreams.jp/iwakitaira/racedetail/1320241130010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
8620241201010008,2024-12-01,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620241201010008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [4]; found=[1, 2, 3, 5, 6, 7]"
8620241201010009,2024-12-01,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620241201010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
2620241209020009,2024-12-10,西武園競輪,9,Ｓ級一般,https://keirin.kdreams.jp/seibuen/racedetail/2620241209020009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [4]; found=[1, 2, 3, 5, 6, 7]"
2520241217030007,2024-12-19,大宮競輪,7,Ｓ級一般,https://keirin.kdreams.jp/omiya/racedetail/2520241217030007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
4220241223010009,2024-12-23,名古屋競輪,9,Ｓ級予選,https://keirin.kdreams.jp/nagoya/racedetail/4220241223010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
7420241225010009,2024-12-25,高知競輪,9,Ｓ級予選,https://keirin.kdreams.jp/kochi/racedetail/7420241225010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
