race_id,race_date,track,race_no,race_type,odds_source_url,error
8620240103010008,2024-01-03,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240103010008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
7420240103010011,2024-01-03,高知競輪,11,Ｓ級予選,https://keirin.kdreams.jp/kochi/racedetail/7420240103010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
7520240223010009,2024-02-23,松山競輪,9,Ｓ級予選,https://keirin.kdreams.jp/matsuyama/racedetail/7520240223010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [7]; found=[1, 2, 3, 4, 5, 6]"
8320240225010006,2024-02-25,久留米競輪,6,Ｓ級予選,https://keirin.kdreams.jp/kurume/racedetail/8320240225010006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
2820240308010009,2024-03-08,立川競輪,9,Ｓ級予選,https://keirin.kdreams.jp/tachikawa/racedetail/2820240308010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
8620240311010008,2024-03-11,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010009,2024-03-11,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010010,2024-03-11,別府競輪,10,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240311010011,2024-03-11,別府競輪,11,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240311010011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010006,2024-04-21,別府競輪,6,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010006/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010007,2024-04-21,別府競輪,7,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010007/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010008,2024-04-21,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010009,2024-04-21,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010010,2024-04-21,別府競輪,10,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240421010011,2024-04-21,別府競輪,11,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240421010011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
2720240429010007,2024-04-29,京王閣競輪,7,Ｓ級予選,https://keirin.kdreams.jp/keiokaku/racedetail/2720240429010007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
4420240509010006,2024-05-09,大垣競輪,6,Ｓ級予選,https://keirin.kdreams.jp/ogaki/racedetail/4420240509010006/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
3620240522010011,2024-05-22,小田原競輪,11,Ｓ級予選,https://keirin.kdreams.jp/odawara/racedetail/3620240522010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
8620240523010008,2024-05-23,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010008/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010009,2024-05-23,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010009/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010010,2024-05-23,別府競輪,10,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010010/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
8620240523010011,2024-05-23,別府競輪,11,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620240523010011/?pageType=odds,OddsParseError: expected >=5 odds status blocks; got 4
3720240617010007,2024-06-17,伊東競輪,7,Ｓ級予選,https://keirin.kdreams.jp/ito/racedetail/3720240617010007/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
3620240921010008,2024-09-21,小田原競輪,8,Ｓ級予選,https://keirin.kdreams.jp/odawara/racedetail/3620240921010008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [5]; found=[1, 2, 3, 4, 6, 7]"
2820241022010011,2024-10-22,立川競輪,11,Ｓ級予選,https://keirin.kdreams.jp/tachikawa/racedetail/2820241022010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
4320241111010010,2024-11-11,岐阜競輪,10,Ｓ級予選,https://keirin.kdreams.jp/gifu/racedetail/4320241111010010/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
1320241130010011,2024-11-30,いわき平競輪,11,Ｓ級予選,https://keirin.kdreams.jp/iwakitaira/racedetail/1320241130010011/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [2]; found=[1, 3, 4, 5, 6, 7]"
8620241201010008,2024-12-01,別府競輪,8,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620241201010008/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [4]; found=[1, 2, 3, 5, 6, 7]"
8620241201010009,2024-12-01,別府競輪,9,Ｓ級予選,https://keirin.kdreams.jp/beppu/racedetail/8620241201010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
4220241223010009,2024-12-23,名古屋競輪,9,Ｓ級予選,https://keirin.kdreams.jp/nagoya/racedetail/4220241223010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [1]; found=[2, 3, 4, 5, 6, 7]"
7420241225010009,2024-12-25,高知競輪,9,Ｓ級予選,https://keirin.kdreams.jp/kochi/racedetail/7420241225010009/?pageType=odds,"OddsParseError: trifecta fixed-first tables missing for cars [3]; found=[1, 2, 4, 5, 6, 7]"
