race_id,race_date,track,race_no,segment,strategy,decision,purchased,bet_count,stake_yen,payout_yen,profit_yen,hit,hit_combinations,main_line_id,main_line_size,a_car,b_car,m3_car,r1l_car,r1b_car,pair_win_sum,b_score,pair_top3_sum,b_top3,score_gap_A_vs_R1L
2720240101010006,2024-01-01,京王閣競輪,6,前半,early_v0,skip_threshold,0,0,0,0,0,0,,2,3,3,5,2,4,1,29.7,107.00,,,
2720240101010007,2024-01-01,京王閣競輪,7,前半,early_v0,skip_threshold,0,0,0,0,0,0,,3,3,4,3,2,1,5,57.1,104.44,,,
2720240101010008,2024-01-01,京王閣競輪,8,中盤,middle_v0,skip_threshold,0,0,0,0,0,0,,1,3,7,1,4,5,2,,102.79,,,
2720240101010009,2024-01-01,京王閣競輪,9,中盤,middle_v0,skip_threshold,0,0,0,0,0,0,,3,3,5,7,3,1,4,,103.41,,,
2720240101010010,2024-01-01,京王閣競輪,10,後半,late_v1,mainline_4pt,1,4,400,760,360,1,1-5-3,1,3,5,1,7,6,3,105.0,105.00,156.6,66.6,
2720240101010011,2024-01-01,京王閣競輪,11,後半,late_v1,skip_middle,0,0,0,0,0,0,,3,3,5,1,7,3,4,35.5,103.51,97.5,44.4,
8620240103010007,2024-01-03,別府競輪,7,前半,early_v0,skip_threshold,0,0,0,0,0,0,,1,3,5,1,6,7,2,43.8,102.95,,,
8620240103010008,2024-01-03,別府競輪,8,中盤,middle_v0,skip_threshold,0,0,0,0,0,0,,4,3,2,7,4,6,3,,103.37,,,
8620240103010009,2024-01-03,別府競輪,9,中盤,middle_v0,buy,1,2,200,0,-200,0,,3,3,5,2,7,4,1,,107.46,,,
8620240103010010,2024-01-03,別府競輪,10,後半,late_v1,mainline_4pt,1,4,400,0,-400,0,,3,4,7,2,4,3,5,63.8,101.91,111.0,33.3,
8620240103010011,2024-01-03,別府競輪,11,後半,late_v1,skip_middle,0,0,0,0,0,0,,3,3,3,5,6,1,7,40.8,103.12,95.2,53.1,
7420240103010009,2024-01-03,高知競輪,9,前半,early_v0,buy,1,4,400,0,-400,0,,1,3,4,1,6,3,5,20.0,102.33,,,
