race_id,race_date,track,race_no,race_type,ticket_type,bet_code,combination,payout_yen,popularity,status,result_source_url,result_source,captured_at_utc,raw_text
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,2車単,exacta,4-1,1710,7,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"4-1 1,710円 (7)"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,2枠単,frame_exacta,,,,not_offered,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,未発売
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,2枠複,frame_quinella,,,,not_offered,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,未発売
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,2車複,quinella,1=4,520,4,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,1=4 520円 (4)
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,3連単,trifecta,4-1-5,2810,14,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,"4-1-5 2,810円 (14)"
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,3連複,trio,1=4=5,350,1,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,1=4=5 350円 (1)
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,ワイド,wide,1=4,180,4,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,1=4 180円 (4)
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,ワイド,wide,1=5,160,3,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,1=5 160円 (3)
2720240101010006,2024-01-01,京王閣競輪,6,Ｓ級予選,ワイド,wide,4=5,140,1,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010006/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:49.167275+00:00,4=5 140円 (1)
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,2車単,exacta,1-5,2120,7,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"1-5 2,120円 (7)"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,2枠単,frame_exacta,,,,not_offered,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,未発売
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,2枠複,frame_quinella,,,,not_offered,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,未発売
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,2車複,quinella,1=5,1540,5,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"1=5 1,540円 (5)"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,3連単,trifecta,1-5-3,4720,12,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"1-5-3 4,720円 (12)"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,3連複,trio,1=3=5,1560,4,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,"1=3=5 1,560円 (4)"
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,ワイド,wide,1=3,340,6,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,1=3 340円 (6)
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,ワイド,wide,1=5,640,9,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,1=5 640円 (9)
2720240101010007,2024-01-01,京王閣競輪,7,Ｓ級予選,ワイド,wide,3=5,320,5,paid,https://keirin.kdreams.jp/keiokaku/racedetail/2720240101010007/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T13:38:51.815135+00:00,3=5 320円 (5)
