race_id,race_date,track,race_no,race_type,car_no,player_name,finish_position,finish_text,margin,last200,winning_method,sb,result_comment,result_source_url,result_source,captured_at_utc,raw_row_json
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,1,志村 太賀,1,1,,9.9,差,S,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": [""△"", ""1"", ""1"", ""志村 太賀"", """", ""9.9"", ""差"", ""S"", """"], ""row_class"": []}"
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,2,鈴木 裕,3,3,３/４車身,9.9,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": [""◎"", ""3"", ""2"", ""鈴木 裕"", ""３/４車身"", ""9.9"", """", """", """"], ""row_class"": []}"
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,3,坂本 周輝,5,5,１/２車身,10.0,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": [""注"", ""5"", ""3"", ""坂本 周輝"", ""１/２車身"", ""10.0"", """", """", """"], ""row_class"": []}"
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,4,春日 勇人,6,6,１車身１/２,10.0,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": ["""", ""6"", ""4"", ""春日 勇人"", ""１車身１/２"", ""10.0"", """", """", """"], ""row_class"": []}"
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,5,櫻井 正孝,4,4,１車身,10.0,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": [""×"", ""4"", ""5"", ""櫻井 正孝"", ""１車身"", ""10.0"", """", """", """"], ""row_class"": []}"
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,6,吉田 昌司,2,2,１/４車輪,10.1,逃,B,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": ["""", ""2"", ""6"", ""吉田 昌司"", ""１/４車輪"", ""10.1"", ""逃"", ""B"", """"], ""row_class"": []}"
3720250101010008,2025-01-01,伊東競輪,8,Ｓ級予選,7,染谷 幸喜,7,7,１車身,10.4,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010008/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:01.624734+00:00,"{""cells"": [""○"", ""7"", ""7"", ""染谷 幸喜"", ""１車身"", ""10.4"", """", """", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,1,鷲田 幸司,1,1,,10.1,差,S,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": [""×"", ""1"", ""1"", ""鷲田 幸司"", """", ""10.1"", ""差"", ""S"", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,2,佐々木 省司,5,5,１車輪,10.0,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": ["""", ""5"", ""2"", ""佐々木 省司"", ""１車輪"", ""10.0"", """", """", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,3,中田 健太,7,7,１車身１/２,9.9,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": [""◎"", ""7"", ""3"", ""中田 健太"", ""１車身１/２"", ""9.9"", """", """", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,4,河合 佑弥,3,3,１/２車輪,10.0,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": [""○"", ""3"", ""4"", ""河合 佑弥"", ""１/２車輪"", ""10.0"", """", """", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,5,岩本 和也,4,4,タイヤ差,10.0,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": [""注"", ""4"", ""5"", ""岩本 和也"", ""タイヤ差"", ""10.0"", """", """", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,6,小松原 正登,2,2,１/２車身,10.3,逃,B,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": ["""", ""2"", ""6"", ""小松原 正登"", ""１/２車身"", ""10.3"", ""逃"", ""B"", """"], ""row_class"": []}"
3720250101010009,2025-01-01,伊東競輪,9,Ｓ級予選,7,高橋 広大,6,6,１/４車輪,9.8,,,,https://keirin.kdreams.jp/ito/racedetail/3720250101010009/?pageType=KS_RACE_CARD_PAGE_TYPE_SHOW_RESULT,楽天Kドリームス 結果・払戻金,2026-08-28T02:18:04.143342+00:00,"{""cells"": [""△"", ""6"", ""7"", ""高橋 広大"", ""１/４車輪"", ""9.8"", """", """", """"], ""row_class"": []}"
