race_id,race_date,track,race_no,segment,segment_ordinal,s_yosen_count_that_day_track,main_line_id,main_line_formation,a_car,b_car,a_score,b_score,pair_score_sum,third_candidates,third_candidate_count,finish_a,finish_b,mainline_top2,actual_third,third_captured_given_top2,bet_count,stake_yen,payout_yen,profit_yen,hit,hit_combinations
3720250101010008,2025-01-01,伊東競輪,8,前半,1,4,2,7-2-4,7,2,96.47,106.26,202.73000000000002,1-3-4-5-6,5,7,3,0,2,0,10,1000,0,-1000,0,
3720250101010009,2025-01-01,伊東競輪,9,前半,2,4,3,4-3-7,4,3,101.94,104.47,206.41,2-5-6-7,4,3,7,0,4,0,8,800,0,-800,0,
3720250101010010,2025-01-01,伊東競輪,10,中盤,3,4,1,4-1,4,1,101.11,103.84,204.95,3-5-7,3,2,1,1,6,0,6,600,0,-600,0,
3720250101010011,2025-01-01,伊東競輪,11,後半,4,4,1,1-7-4,1,7,102.11,100.76,202.87,2-3-4-5-6,5,1,2,1,2,1,10,1000,760,-240,1,1-7-2
2220250101010006,2025-01-01,前橋競輪,6,前半,1,6,3,3-5-7,3,5,94.65,102.34,196.99,1-2-4-7,4,7,6,0,1,0,8,800,0,-800,0,
2220250101010007,2025-01-01,前橋競輪,7,前半,2,6,2,7-2-4,7,2,99.17,103.00,202.17000000000002,1-3-4-6,4,7,2,0,1,0,8,800,0,-800,0,
2220250101010008,2025-01-01,前橋競輪,8,中盤,3,6,3,4-3,4,3,99.47,103.00,202.47,2-6-7,3,2,3,0,3,0,6,600,0,-600,0,
2220250101010009,2025-01-01,前橋競輪,9,中盤,4,6,1,2-7-6,2,7,103.68,100.84,204.52,1-3-4-5-6,5,2,1,1,6,1,10,1000,540,-460,1,7-2-6
2220250101010010,2025-01-01,前橋競輪,10,後半,5,6,3,7-3-4,7,3,100.85,105.10,205.95,1-2-4-5,4,1,2,1,1,1,8,800,1790,990,1,7-3-1
2220250101010011,2025-01-01,前橋競輪,11,後半,6,6,3,5-3-2,5,3,105.16,104.30,209.45999999999998,2-4-6-7,4,2,1,1,2,1,8,800,260,-540,1,3-5-2
7420250103010008,2025-01-03,高知競輪,8,前半,1,4,1,7-3,7,3,102.55,103.66,206.20999999999998,1-2-4,3,7,1,0,2,0,6,600,0,-600,0,
7420250103010009,2025-01-03,高知競輪,9,前半,2,4,3,3-5,3,5,104.08,100.89,204.97,1-2-7,3,3,5,0,3,0,6,600,0,-600,0,
7420250103010010,2025-01-03,高知競輪,10,中盤,3,4,1,4-1,4,1,104.75,101.46,206.20999999999998,2-3-5,3,3,1,0,4,0,6,600,0,-600,0,
7420250103010011,2025-01-03,高知競輪,11,後半,4,4,1,1-4-6,1,4,107.41,102.81,210.22,2-3-6-7,4,2,1,1,5,0,8,800,0,-800,0,
