race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,source_url,captured_at_utc,car_no,player_name,player_profile,prefecture,age,term,class,style,gear,score,s_count,b_count,nige_count,makuri_count,sashi_count,mark_count,first_count,second_count,third_count,outside_count,win_rate,top2_rate,top3_rate,prediction_mark,evaluation,raw_row_json,predicted_line_formation,line_status,line_provider,line_source,line_id,line_position,line_size,line_role
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,1,熊崎 麻人,埼 玉/26/123,埼玉,26,123,S2,逃,3.92,96.70,14,4,2,0,2,1,2,3,2,17,8.3,20.8,29.1,▲,5,"{""cells"": [""▲"", """", ""5"", ""1"", ""1"", ""熊崎 麻人 埼 玉/26/123"", ""S2"", ""逃"", ""3.92"", ""96.70"", ""14"", ""4"", ""2"", ""0"", ""2"", ""1"", ""2"", ""3"", ""2"", ""17"", ""8.3"", ""20.8"", ""29.1""], ""row_class"": [""n1""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,1,1,2,先行
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,2,菅原 大也,神奈川/35/107,神奈川,35,107,S1,両,3.92,103.00,1,10,8,2,0,0,8,2,3,16,27.5,34.4,44.8,◎,4,"{""cells"": [""◎"", """", ""4"", ""2"", ""2"", ""菅原 大也 神奈川/35/107"", ""S1"", ""両"", ""3.92"", ""103.00"", ""1"", ""10"", ""8"", ""2"", ""0"", ""0"", ""8"", ""2"", ""3"", ""16"", ""27.5"", ""34.4"", ""44.8""], ""row_class"": [""n2""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,2,1,3,押え先
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,3,月森 亮輔,岡 山/34/101,岡山,34,101,S2,両,3.92,99.18,13,8,3,1,1,2,2,5,2,13,9.0,31.8,40.9,×,4,"{""cells"": [""×"", """", ""4"", ""3"", ""3"", ""月森 亮輔 岡 山/34/101"", ""S2"", ""両"", ""3.92"", ""99.18"", ""13"", ""8"", ""3"", ""1"", ""1"", ""2"", ""2"", ""5"", ""2"", ""13"", ""9.0"", ""31.8"", ""40.9""], ""row_class"": [""n3""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,3,1,2,押え先
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,4,高津 晃治,岡 山/46/87,岡山,46,87,S2,追,3.92,98.57,1,0,0,0,4,1,3,2,4,18,11.1,18.5,33.3,注,5,"{""cells"": [""注"", """", ""5"", ""4"", ""4"", ""高津 晃治 岡 山/46/87"", ""S2"", ""追"", ""3.92"", ""98.57"", ""1"", ""0"", ""0"", ""0"", ""4"", ""1"", ""3"", ""2"", ""4"", ""18"", ""11.1"", ""18.5"", ""33.3""], ""row_class"": [""n4""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,3,2,2,追込
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,5,柿沼 信也,埼 玉/41/91,埼玉,41,91,S2,追,3.92,98.93,4,0,0,0,3,1,1,3,2,10,6.2,25.0,37.5,△,5,"{""cells"": [""△"", """", ""5"", ""5"", ""5"", ""柿沼 信也 埼 玉/41/91"", ""S2"", ""追"", ""3.92"", ""98.93"", ""4"", ""0"", ""0"", ""0"", ""3"", ""1"", ""1"", ""3"", ""2"", ""10"", ""6.2"", ""25.0"", ""37.5""], ""row_class"": [""n5""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,1,2,2,追込
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,6,房州 輝也,福 島/40/91,福島,40,91,S2,両,3.92,95.41,1,1,0,0,1,0,0,1,7,26,0.0,2.9,23.5,,5,"{""cells"": ["""", """", ""5"", ""6"", ""6"", ""房州 輝也 福 島/40/91"", ""S2"", ""両"", ""3.92"", ""95.41"", ""1"", ""1"", ""0"", ""0"", ""1"", ""0"", ""0"", ""1"", ""7"", ""26"", ""0.0"", ""2.9"", ""23.5""], ""row_class"": [""n6""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,2,3,3,追込
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,7,佐々木 和紀,神奈川/29/117,神奈川,29,117,S2,追,3.92,100.78,2,0,0,0,1,2,0,3,4,16,0.0,13.0,30.4,○,4,"{""cells"": [""○"", """", ""4"", ""7"", ""佐々木 和紀 神奈川/29/117"", ""S2"", ""追"", ""3.92"", ""100.78"", ""2"", ""0"", ""0"", ""0"", ""1"", ""2"", ""0"", ""3"", ""4"", ""16"", ""0.0"", ""13.0"", ""30.4""], ""row_class"": [""n7""]}",1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想,2,2,3,追込
2520260701010007,2026-07-01,大宮競輪,F1,7,Ｓ級予選,13:29,13:24,https://keirin.kdreams.jp/omiya/racedetail/2520260701010007/?pageType=result,2026-09-17T01:05:12.243040+00:00,1,今井 聡,東 京/38/113,東京,38,113,S2,追,3.92,92.38,9,1,1,1,10,1,10,3,1,7,47.6,61.9,66.6,△,6,"{""cells"": [""△"", """", ""6"", ""1"", ""1"", ""今井 聡 東 京/38/113"", ""S2"", ""追"", ""3.92"", ""92.38"", ""9"", ""1"", ""1"", ""1"", ""10"", ""1"", ""10"", ""3"", ""1"", ""7"", ""47.6"", ""61.9"", ""66.6""], ""row_class"": [""n1""]}",4-5-1/7-3-2/6,published,アオケイ,楽天Kドリームス 並び予想,1,3,3,追込
2520260701010007,2026-07-01,大宮競輪,F1,7,Ｓ級予選,13:29,13:24,https://keirin.kdreams.jp/omiya/racedetail/2520260701010007/?pageType=result,2026-09-17T01:05:12.243040+00:00,2,山内 卓也,愛 知/49/77,愛知,49,77,S2,追,3.92,97.56,1,0,0,0,3,2,3,2,2,23,10.0,16.6,23.3,▲,5,"{""cells"": [""▲"", """", ""5"", ""2"", ""2"", ""山内 卓也 愛 知/49/77"", ""S2"", ""追"", ""3.92"", ""97.56"", ""1"", ""0"", ""0"", ""0"", ""3"", ""2"", ""3"", ""2"", ""2"", ""23"", ""10.0"", ""16.6"", ""23.3""], ""row_class"": [""n2""]}",4-5-1/7-3-2/6,published,アオケイ,楽天Kドリームス 並び予想,2,3,3,追込
2520260701010007,2026-07-01,大宮競輪,F1,7,Ｓ級予選,13:29,13:24,https://keirin.kdreams.jp/omiya/racedetail/2520260701010007/?pageType=result,2026-09-17T01:05:12.243040+00:00,3,丸山 啓一,静 岡/51/74,静岡,51,74,S2,追,3.92,100.92,4,0,0,0,3,3,2,4,3,16,8.0,24.0,36.0,注,4,"{""cells"": [""注"", """", ""4"", ""3"", ""3"", ""丸山 啓一 静 岡/51/74"", ""S2"", ""追"", ""3.92"", ""100.92"", ""4"", ""0"", ""0"", ""0"", ""3"", ""3"", ""2"", ""4"", ""3"", ""16"", ""8.0"", ""24.0"", ""36.0""], ""row_class"": [""n3""]}",4-5-1/7-3-2/6,published,アオケイ,楽天Kドリームス 並び予想,2,2,3,追込
