race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
2520260701010006,2026-07-01,大宮競輪,F1,6,Ｓ級予選,13:01,12:56,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010006/?pageType=result,2026-09-17T01:05:10.447707+00:00,1-5/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想
2520260701010007,2026-07-01,大宮競輪,F1,7,Ｓ級予選,13:29,13:24,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010007/?pageType=result,2026-09-17T01:05:12.243040+00:00,4-5-1/7-3-2/6,published,アオケイ,楽天Kドリームス 並び予想
2520260701010008,2026-07-01,大宮競輪,F1,8,Ｓ級予選,13:57,13:52,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010008/?pageType=result,2026-09-17T01:05:14.845341+00:00,1-7-6/2-5/3-4,published,アオケイ,楽天Kドリームス 並び予想
2520260701010009,2026-07-01,大宮競輪,F1,9,Ｓ級予選,14:25,14:20,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010009/?pageType=result,2026-09-17T01:05:16.617921+00:00,4-7-1/6-2/5-3,published,アオケイ,楽天Kドリームス 並び予想
2520260701010010,2026-07-01,大宮競輪,F1,10,Ｓ級予選,14:53,14:48,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010010/?pageType=result,2026-09-17T01:05:19.559446+00:00,1-4/2-6/7-3-5,published,アオケイ,楽天Kドリームス 並び予想
2520260701010011,2026-07-01,大宮競輪,F1,11,Ｓ級予選,15:22,15:17,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010011/?pageType=result,2026-09-17T01:05:21.169078+00:00,1-7-6/5-2/3-4,published,アオケイ,楽天Kドリームス 並び予想
2520260701010012,2026-07-01,大宮競輪,F1,12,Ｓ級初特選,15:52,15:47,7,https://keirin.kdreams.jp/omiya/racedetail/2520260701010012/?pageType=result,2026-09-17T01:05:22.751330+00:00,3-7-6/1/4/2-5,published,アオケイ,楽天Kドリームス 並び予想
3520260630020008,2026-07-01,平塚競輪,F1,8,Ｓ級一般,18:31,18:26,6,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630020008/?pageType=result,2026-09-17T01:04:17.363258+00:00,6-1/5-4/2-3,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630020009,2026-07-01,平塚競輪,F1,9,Ｓ級一般,18:56,18:51,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630020009/?pageType=result,2026-09-17T01:04:18.983538+00:00,1-7-4/2/3-5-6,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630020010,2026-07-01,平塚競輪,F1,10,Ｓ級準決勝,19:22,19:17,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630020010/?pageType=result,2026-09-17T01:04:20.640146+00:00,2-6/5/1-7/3/4,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630020011,2026-07-01,平塚競輪,F1,11,Ｓ級準決勝,19:48,19:43,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630020011/?pageType=result,2026-09-17T01:04:22.257039+00:00,7-1/2-5-6/4-3,published,小田競・サイクル,楽天Kドリームス 並び予想
3520260630020012,2026-07-01,平塚競輪,F1,12,Ｓ級準決勝,20:15,20:10,7,https://keirin.kdreams.jp/hiratsuka/racedetail/3520260630020012/?pageType=result,2026-09-17T01:04:23.870611+00:00,1-5-4/7-2/6-3,published,小田競・サイクル,楽天Kドリームス 並び予想
