race_id,race_date,track,meeting_grade,race_no,race_type,start_time,deadline,entry_count,source_url,captured_at_utc,predicted_line_formation,line_status,line_provider,line_source
2420260101010006,2026-01-01,宇都宮競輪,F1,6,Ｓ級予選,13:12,13:07,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010006/?pageType=result,2026-08-31T00:19:26.432863+00:00,7-2/4-1/3-5-6,published,アオケイ,楽天Kドリームス 並び予想
2420260101010007,2026-01-01,宇都宮競輪,F1,7,Ｓ級予選,13:38,13:33,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010007/?pageType=result,2026-08-31T00:19:28.064191+00:00,2-5/4-7-1/6-3,published,アオケイ,楽天Kドリームス 並び予想
2420260101010008,2026-01-01,宇都宮競輪,F1,8,Ｓ級予選,14:04,13:59,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010008/?pageType=result,2026-08-31T00:19:29.525899+00:00,6-2/4-1/3-5-7,published,アオケイ,楽天Kドリームス 並び予想
2420260101010009,2026-01-01,宇都宮競輪,F1,9,Ｓ級予選,14:30,14:25,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010009/?pageType=result,2026-08-31T00:19:30.885588+00:00,1-5-7/4-2/6-3,published,アオケイ,楽天Kドリームス 並び予想
2420260101010010,2026-01-01,宇都宮競輪,F1,10,Ｓ級予選,14:56,14:51,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010010/?pageType=result,2026-08-31T00:19:32.247099+00:00,6-3/1-7-5/2-4,published,アオケイ,楽天Kドリームス 並び予想
2420260101010011,2026-01-01,宇都宮競輪,F1,11,Ｓ級予選,15:23,15:18,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010011/?pageType=result,2026-08-31T00:19:33.619212+00:00,5-1/2-7-6/3-4,published,アオケイ,楽天Kドリームス 並び予想
2420260101010012,2026-01-01,宇都宮競輪,F1,12,Ｓ級初特選,15:52,15:47,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101010012/?pageType=result,2026-08-31T00:19:34.966617+00:00,1-7/4-2-5/6-3,published,アオケイ,楽天Kドリームス 並び予想
8120251230030005,2026-01-01,小倉競輪,F1,5,Ｓ級一般,17:31,17:26,5,https://keirin.kdreams.jp/kokura/racedetail/8120251230030005/?pageType=result,2026-08-31T00:18:47.927188+00:00,1-3-5/2-4,published,コンドル出版社,楽天Kドリームス 並び予想
8120251230030006,2026-01-01,小倉競輪,F1,6,Ｓ級一般,17:52,17:47,5,https://keirin.kdreams.jp/kokura/racedetail/8120251230030006/?pageType=result,2026-08-31T00:18:49.137997+00:00,1-4/5-2/3,published,コンドル出版社,楽天Kドリームス 並び予想
8120251230030007,2026-01-01,小倉競輪,F1,7,Ｓ級一般,18:15,18:10,6,https://keirin.kdreams.jp/kokura/racedetail/8120251230030007/?pageType=result,2026-08-31T00:18:50.326141+00:00,6-3-1/4/5-2,published,コンドル出版社,楽天Kドリームス 並び予想
8120251230030008,2026-01-01,小倉競輪,F1,8,Ｓ級特選,18:38,18:33,7,https://keirin.kdreams.jp/kokura/racedetail/8120251230030008/?pageType=result,2026-08-31T00:18:51.659987+00:00,7-1-4/3/5-2-6,published,コンドル出版社,楽天Kドリームス 並び予想
8120251230030009,2026-01-01,小倉競輪,F1,9,Ｓ級特選,19:04,18:59,7,https://keirin.kdreams.jp/kokura/racedetail/8120251230030009/?pageType=result,2026-08-31T00:18:53.026730+00:00,4-1/2-6/5-3/7,published,コンドル出版社,楽天Kドリームス 並び予想
8120251230030010,2026-01-01,小倉競輪,F1,10,Ｓ級特選,19:31,19:26,7,https://keirin.kdreams.jp/kokura/racedetail/8120251230030010/?pageType=result,2026-08-31T00:18:54.358889+00:00,1-7/2-5/3-4-6,published,コンドル出版社,楽天Kドリームス 並び予想
8120251230030012,2026-01-01,小倉競輪,F1,12,Ｓ級決勝,20:30,20:25,7,https://keirin.kdreams.jp/kokura/racedetail/8120251230030012/?pageType=result,2026-08-31T00:18:55.730376+00:00,5-1-7/2/4-6-3,published,コンドル出版社,楽天Kドリームス 並び予想
5620251231020006,2026-01-01,岸和田競輪,F1,6,Ｓ級一般,13:51,13:46,6,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231020006/?pageType=result,2026-08-31T00:18:11.670226+00:00,5-1/6-4-2/3,published,競輪研究,楽天Kドリームス 並び予想
5620251231020007,2026-01-01,岸和田競輪,F1,7,Ｓ級選抜,14:17,14:12,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231020007/?pageType=result,2026-08-31T00:18:13.039138+00:00,4-5-2/1/7-3/6,published,競輪研究,楽天Kドリームス 並び予想
5620251231020008,2026-01-01,岸和田競輪,F1,8,Ｓ級選抜,14:43,14:38,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231020008/?pageType=result,2026-08-31T00:18:14.361221+00:00,1-5/4-2/7-3/6,published,競輪研究,楽天Kドリームス 並び予想
5620251231020009,2026-01-01,岸和田競輪,F1,9,Ｓ級準決勝,15:09,15:04,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231020009/?pageType=result,2026-08-31T00:18:15.727999+00:00,1-7-4/2-5/6/3,published,競輪研究,楽天Kドリームス 並び予想
5620251231020010,2026-01-01,岸和田競輪,F1,10,Ｓ級準決勝,15:37,15:32,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231020010/?pageType=result,2026-08-31T00:18:18.066749+00:00,1-6-5/7-2-4-3,published,競輪研究,楽天Kドリームス 並び予想
5620251231020011,2026-01-01,岸和田競輪,F1,11,Ｓ級準決勝,16:07,16:02,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231020011/?pageType=result,2026-08-31T00:18:19.639545+00:00,1-5-3/2-4-6/7,published,競輪研究,楽天Kドリームス 並び予想
3820260101010006,2026-01-01,静岡競輪,F1,6,Ｓ級予選,17:45,17:40,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010006/?pageType=result,2026-08-31T00:18:57.309750+00:00,5-1/2-4/6-3-7,published,ひかり・小田競,楽天Kドリームス 並び予想
3820260101010007,2026-01-01,静岡競輪,F1,7,Ｓ級予選,18:07,18:02,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010007/?pageType=result,2026-08-31T00:18:58.670124+00:00,4-1-6/7-2/3-5,published,ひかり・小田競,楽天Kドリームス 並び予想
3820260101010008,2026-01-01,静岡競輪,F1,8,Ｓ級予選,18:30,18:25,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010008/?pageType=result,2026-08-31T00:18:59.992649+00:00,1-5-6/4-2/3-7,published,ひかり・小田競,楽天Kドリームス 並び予想
3820260101010009,2026-01-01,静岡競輪,F1,9,Ｓ級予選,18:55,18:50,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010009/?pageType=result,2026-08-31T00:19:01.350792+00:00,1-7-6/2-5/4-3,published,ひかり・小田競,楽天Kドリームス 並び予想
3820260101010010,2026-01-01,静岡競輪,F1,10,Ｓ級予選,19:22,19:17,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010010/?pageType=result,2026-08-31T00:19:02.691516+00:00,5-1/2-4-6/7-3,published,ひかり・小田競,楽天Kドリームス 並び予想
3820260101010011,2026-01-01,静岡競輪,F1,11,Ｓ級予選,19:50,19:45,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010011/?pageType=result,2026-08-31T00:19:04.030687+00:00,7-2/1-4-6/5-3,published,ひかり・小田競,楽天Kドリームス 並び予想
3820260101010012,2026-01-01,静岡競輪,F1,12,Ｓ級初特選,20:20,20:15,7,https://keirin.kdreams.jp/shizuoka/racedetail/3820260101010012/?pageType=result,2026-08-31T00:19:05.402788+00:00,3-7-6/1-5/2-4,published,ひかり・小田競,楽天Kドリームス 並び予想
2420260101020006,2026-01-02,宇都宮競輪,F1,6,Ｓ級一般,13:13,13:08,6,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020006/?pageType=result,2026-08-31T00:19:36.190325+00:00,5-6-1/2/4-3,published,アオケイ,楽天Kドリームス 並び予想
2420260101020007,2026-01-02,宇都宮競輪,F1,7,Ｓ級一般,13:39,13:34,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020007/?pageType=result,2026-08-31T00:19:37.567714+00:00,7-3/5-2/6-1/4,published,アオケイ,楽天Kドリームス 並び予想
2420260101020008,2026-01-02,宇都宮競輪,F1,8,Ｓ級選抜,14:06,14:01,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020008/?pageType=result,2026-08-31T00:19:39.486426+00:00,1-7-5/6-2/3-4,published,アオケイ,楽天Kドリームス 並び予想
2420260101020009,2026-01-02,宇都宮競輪,F1,9,Ｓ級選抜,14:33,14:28,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020009/?pageType=result,2026-08-31T00:19:41.303569+00:00,1-4-6/7-2-3-5,published,アオケイ,楽天Kドリームス 並び予想
2420260101020010,2026-01-02,宇都宮競輪,F1,10,Ｓ級準決勝,15:00,14:55,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020010/?pageType=result,2026-08-31T00:19:42.800113+00:00,1-4-7/6/5-2/3,published,アオケイ,楽天Kドリームス 並び予想
2420260101020011,2026-01-02,宇都宮競輪,F1,11,Ｓ級準決勝,15:33,15:28,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020011/?pageType=result,2026-08-31T00:19:44.169540+00:00,1-4/2-7/6-5-3,published,アオケイ,楽天Kドリームス 並び予想
2420260101020012,2026-01-02,宇都宮競輪,F1,12,Ｓ級準決勝,16:09,16:04,7,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260101020012/?pageType=result,2026-08-31T00:19:46.395269+00:00,5-1-7/3/6-4-2,published,アオケイ,楽天Kドリームス 並び予想
5620251231030005,2026-01-02,岸和田競輪,F1,5,Ｓ級一般,13:21,13:16,6,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231030005/?pageType=result,2026-08-31T00:18:20.951642+00:00,4-1/6-2/3/5,published,競輪研究,楽天Kドリームス 並び予想
5620251231030006,2026-01-02,岸和田競輪,F1,6,Ｓ級一般,13:48,13:43,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231030006/?pageType=result,2026-08-31T00:18:22.278884+00:00,1-4/6-5-2/3-7,published,競輪研究,楽天Kドリームス 並び予想
5620251231030008,2026-01-02,岸和田競輪,F1,8,Ｓ級特選,14:42,14:37,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231030008/?pageType=result,2026-08-31T00:18:23.665609+00:00,1-6/7-2-5/4-3,published,競輪研究,楽天Kドリームス 並び予想
5620251231030009,2026-01-02,岸和田競輪,F1,9,Ｓ級特選,15:09,15:04,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231030009/?pageType=result,2026-08-31T00:18:25.986475+00:00,4-1-7/2-6/5-3,published,競輪研究,楽天Kドリームス 並び予想
5620251231030010,2026-01-02,岸和田競輪,F1,10,Ｓ級特選,15:45,15:40,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231030010/?pageType=result,2026-08-31T00:18:27.569706+00:00,7-1-2/5/4-3-6,published,競輪研究,楽天Kドリームス 並び予想
5620251231030011,2026-01-02,岸和田競輪,F1,11,Ｓ級決勝,16:21,16:16,7,https://keirin.kdreams.jp/kishiwada/racedetail/5620251231030011/?pageType=result,2026-08-31T00:18:28.935772+00:00,5-4-3-7/1/2/6,published,競輪研究,楽天Kドリームス 並び予想
4520260102010008,2026-01-02,豊橋競輪,F1,8,Ｓ級予選,13:57,13:52,7,https://keirin.kdreams.jp/toyohashi/racedetail/4520260102010008/?pageType=result,2026-08-31T00:19:57.643202+00:00,6-1/3/5/4-2-7,published,中部競輪,楽天Kドリームス 並び予想
4520260102010009,2026-01-02,豊橋競輪,F1,9,Ｓ級予選,14:24,14:19,7,https://keirin.kdreams.jp/toyohashi/racedetail/4520260102010009/?pageType=result,2026-08-31T00:19:58.958914+00:00,7-2-3/5-1-6/4,published,中部競輪,楽天Kドリームス 並び予想
4520260102010010,2026-01-02,豊橋競輪,F1,10,Ｓ級予選,14:51,14:46,7,https://keirin.kdreams.jp/toyohashi/racedetail/4520260102010010/?pageType=result,2026-08-31T00:20:00.326080+00:00,6-4-1/2-5-7-3,published,中部競輪,楽天Kドリームス 並び予想
4520260102010011,2026-01-02,豊橋競輪,F1,11,Ｓ級予選,15:21,15:16,7,https://keirin.kdreams.jp/toyohashi/racedetail/4520260102010011/?pageType=result,2026-08-31T00:20:01.689939+00:00,6-3/7-4-1/2-5,published,中部競輪,楽天Kドリームス 並び予想
