race_id,favorite,favorite_odds,favorite_consensus,second_to_fav_odds_ratio,candidate_count,core_pair,four_cars,result,A_2of3_representatives_tickets,A_2of3_representatives_stake_yen,A_2of3_representatives_payout_yen,A_2of3_representatives_hit,B_core_pair_all_tickets,B_core_pair_all_stake_yen,B_core_pair_all_payout_yen,B_core_pair_all_hit,C_four_car_box_tickets,C_four_car_box_stake_yen,C_four_car_box_payout_yen,C_four_car_box_hit,D_four_car_without_favorite_tickets,D_four_car_without_favorite_stake_yen,D_four_car_without_favorite_payout_yen,D_four_car_without_favorite_hit
1120230427010006,1-3-7,6.0,0.124570202622299,1.0666666666666667,1,3-5,1-3-5-7,1-5-7,3-5-7,100,0,0,1-3-5|2-3-5|3-4-5|3-5-6|3-5-7,500,0,0,1-3-5|1-3-7|1-5-7|3-5-7,400,640,1,1-3-5|1-5-7|3-5-7,300,640,1
1120230622010007,2-5-7,4.2,0.1773971157736114,1.1904761904761905,1,2-5,,2-3-5,2-5-6,100,0,0,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,500,1,,0,0,0,,0,0,0
1120230622010009,1-3-7,4.2,0.1773061999591268,1.1428571428571428,2,1-3,1-3-4-7,1-3-4,1-3-4|1-3-5,200,570,1,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,570,1,1-3-4|1-3-7|1-4-7|3-4-7,400,570,1,1-3-4|1-4-7|3-4-7,300,570,1
1120230622010011,1-3-5,4.0,0.18655807448817632,1.0,1,1-3,1-3-4-5,1-3-4,1-3-4,100,870,1,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,870,1,1-3-4|1-3-5|1-4-5|3-4-5,400,870,1,1-3-4|1-4-5|3-4-5,300,870,1
1120230715010004,1-2-5,6.0,0.12470471430380019,1.0999999999999999,3,1-5,1-2-3-5,3-5-7,1-3-5|1-5-6|2-5-7,300,0,0,1-2-5|1-3-5|1-4-5|1-5-6|1-5-7,500,0,0,1-2-3|1-2-5|1-3-5|2-3-5,400,0,0,1-2-3|1-3-5|2-3-5,300,0,0
1120230715010005,3-5-7,6.9,0.10828852404543761,1.0579710144927534,3,3-7,3-4-5-7,3-7-9,1-3-7|3-4-7|3-6-7,300,0,0,1-3-7|2-3-7|3-4-7|3-5-7|3-6-7,500,0,0,3-4-5|3-4-7|3-5-7|4-5-7,400,0,0,3-4-5|3-4-7|4-5-7,300,0,0
1120230715010007,2-3-7,7.6,0.09836513751094557,1.0,3,2-3,,1-5-8,1-2-7|2-3-4|2-3-5,300,0,0,1-2-3|2-3-4|2-3-5|2-3-6|2-3-7,500,0,0,,0,0,0,,0,0,0
1120230715010009,2-3-9,4.6,0.16243808720478106,1.065217391304348,3,3-9,2-3-4-9,2-3-5,1-3-9|3-4-9|3-7-9,300,0,0,1-3-9|2-3-9|3-4-9|3-5-9|3-6-9|3-7-9,600,0,0,2-3-4|2-3-9|2-4-9|3-4-9,400,0,0,2-3-4|2-4-9|3-4-9,300,0,0
1120230823010010,3-4-7,4.1,0.1813654177234656,1.0731707317073174,0,,,2-3-4,,0,0,0,,0,0,0,,0,0,0,,0,0,0
1120231023010006,2-4-7,5.6,0.13347657223696466,1.1071428571428572,3,4-7,2-4-6-7,1-2-5,1-4-7|3-4-7|4-6-7,300,0,0,1-4-7|2-4-7|3-4-7|4-5-7|4-6-7,500,0,0,2-4-6|2-4-7|2-6-7|4-6-7,400,0,0,2-4-6|2-6-7|4-6-7,300,0,0
1120231023010007,1-4-7,4.7,0.15863451464888348,1.148936170212766,1,3-4,1-3-4-7,2-3-5,3-4-7,100,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-4|1-3-7|3-4-7,300,0,0
1120231023010008,1-3-4,4.6,0.16275260533756497,1.0869565217391306,3,1-4,1-3-4-7,1-5-7,1-2-4|1-4-5|3-4-7,300,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-7|1-4-7|3-4-7,300,0,0
1120231023010009,1-3-4,5.0,0.14931660819568526,1.02,3,3-4,1-3-4-5,1-3-5,2-3-4|3-4-5|3-4-7,300,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,1-3-4|1-3-5|1-4-5|3-4-5,400,640,1,1-3-5|1-4-5|3-4-5,300,640,1
1120231023010010,1-3-4,4.5,0.16607102856154307,1.1111111111111112,1,1-4,1-3-4-5,1-4-6,1-4-5,100,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,1220,1,1-3-4|1-3-5|1-4-5|3-4-5,400,0,0,1-3-5|1-4-5|3-4-5,300,0,0
1220230724010009,2-4-7,5.7,0.13091721340172918,1.1052631578947367,1,3-4,2-3-4-7,2-3-7,3-4-7,100,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,2-3-4|2-3-7|2-4-7|3-4-7,400,1860,1,2-3-4|2-3-7|3-4-7,300,1860,1
1220230807010007,2-4-5,6.7,0.11144608627978886,1.0746268656716418,3,2-5,1-2-4-5,2-4-7,1-2-5|2-4-7|2-5-6,300,720,1,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,0,0,1-2-4|1-2-5|1-4-5|2-4-5,400,0,0,1-2-4|1-2-5|1-4-5,300,0,0
1220230807010008,1-2-7,4.1,0.18174502718997293,1.0,2,1-7,1-2-5-7,1-2-4,1-5-7|1-6-7,200,0,0,1-2-7|1-3-7|1-4-7|1-5-7|1-6-7,500,0,0,1-2-5|1-2-7|1-5-7|2-5-7,400,0,0,1-2-5|1-5-7|2-5-7,300,0,0
1220231012010009,3-5-7,4.3,0.17326951872726065,1.0930232558139537,1,3-4,3-4-5-7,3-5-7,3-4-7,100,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,3-4-5|3-4-7|3-5-7|4-5-7,400,430,1,3-4-5|3-4-7|4-5-7,300,0,0
1220231020010008,1-4-7,5.7,0.13115194746560613,1.0175438596491226,2,1-4,1-4-6-7,3-4-7,1-2-4|1-4-6,200,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,1-4-6|1-4-7|1-6-7|4-6-7,400,0,0,1-4-6|1-6-7|4-6-7,300,0,0
1320230101010006,2-4-6,4.0,0.18590166001817104,1.05,1,2-4,,2-3-5,2-4-5,100,0,0,1-2-4|2-3-4|2-4-5|2-4-6|2-4-7,500,0,0,,0,0,0,,0,0,0
1320230101010008,1-2-4,4.5,0.1659432866393187,1.1777777777777778,1,1-4,1-2-4-6,2-3-5,1-4-6,100,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,0,0,1-2-4|1-2-6|1-4-6|2-4-6,400,0,0,1-2-6|1-4-6|2-4-6,300,0,0
1320230207010006,2-3-4,5.3,0.14067193312869097,1.0,2,2-4,2-3-4-7,2-3-4,1-2-4|2-4-7,200,0,0,1-2-4|2-3-4|2-4-5|2-4-6|2-4-7,500,530,1,2-3-4|2-3-7|2-4-7|3-4-7,400,530,1,2-3-7|2-4-7|3-4-7,300,0,0
1320230313010009,3-4-7,4.1,0.18183414665877284,1.048780487804878,4,3-7,3-4-5-7,1-4-7,1-3-7|2-3-7|3-5-7|3-6-7,400,0,0,1-3-7|2-3-7|3-4-7|3-5-7|3-6-7,500,0,0,3-4-5|3-4-7|3-5-7|4-5-7,400,0,0,3-4-5|3-5-7|4-5-7,300,0,0
1320230417010007,3-4-7,5.7,0.13116645734980864,1.1228070175438596,2,4-7,2-3-4-7,2-4-5,2-4-7|4-6-7,200,0,0,1-4-7|2-4-7|3-4-7|4-5-7|4-6-7,500,0,0,2-3-4|2-3-7|2-4-7|3-4-7,400,0,0,2-3-4|2-3-7|2-4-7,300,0,0
1320230417010008,3-5-7,4.8,0.1560017019443301,1.0625,2,1-3,1-3-5-7,3-5-6,1-3-5|2-3-7,200,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,0,0,1-3-5|1-3-7|1-5-7|3-5-7,400,0,0,1-3-5|1-3-7|1-5-7,300,0,0
1320231229010009,1-3-5,4.3,0.1730727276882891,1.0232558139534884,2,3-4,1-3-4-5,1-3-5,1-3-6|3-4-5,200,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,0,0,1-3-4|1-3-5|1-4-5|3-4-5,400,430,1,1-3-4|1-4-5|3-4-5,300,0,0
2120230607010008,1-5-7,4.2,0.17757500151018524,1.1666666666666667,1,1-6,1-5-6-7,2-4-7,1-6-7,100,0,0,1-2-6|1-3-6|1-4-6|1-5-6|1-6-7,500,0,0,1-5-6|1-5-7|1-6-7|5-6-7,400,0,0,1-5-6|1-6-7|5-6-7,300,0,0
2120230703010009,2-3-4,4.6,0.16261746925305945,1.0869565217391306,1,3-4,,1-3-4,3-4-7,100,0,0,1-3-4|2-3-4|3-4-5|3-4-6|3-4-7,500,790,1,,0,0,0,,0,0,0
2120230916010006,1-2-7,4.7,0.1586363852933337,1.0851063829787233,1,1-6,1-2-6-7,3-5-7,1-6-7,100,0,0,1-2-6|1-3-6|1-4-6|1-5-6|1-6-7,500,0,0,1-2-6|1-2-7|1-6-7|2-6-7,400,0,0,1-2-6|1-6-7|2-6-7,300,0,0
2120230916010007,2-3-5,4.6,0.1620532716013104,1.1956521739130437,0,,,1-2-5,,0,0,0,,0,0,0,,0,0,0,,0,0,0
2120230921010006,1-3-4,4.2,0.17766228963707953,1.0476190476190477,1,1-4,1-3-4-6,1-4-5,1-4-6,100,0,0,1-2-4|1-3-4|1-4-5|1-4-6|1-4-7,500,440,1,1-3-4|1-3-6|1-4-6|3-4-6,400,0,0,1-3-6|1-4-6|3-4-6,300,0,0
2120230921010007,2-3-5,4.7,0.15867340368633764,1.0212765957446808,2,3-5,,3-4-7,2-4-5|3-5-6,200,0,0,1-3-5|2-3-5|3-4-5|3-5-6|3-5-7,500,0,0,,0,0,0,,0,0,0
2120231006010010,1-2-5,4.3,0.17314058697726045,1.0232558139534884,2,2-5,,1-2-5,1-2-7|2-5-6,200,0,0,1-2-5|2-3-5|2-4-5|2-5-6|2-5-7,500,430,1,,0,0,0,,0,0,0
2220230128010008,1-3-4,4.6,0.16234735452811663,1.108695652173913,2,1-3,,1-4-6,1-3-5|1-3-7,200,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,0,0,,0,0,0,,0,0,0
2220230210010006,2-3-5,4.1,0.18189529047932912,1.024390243902439,1,2-4,2-3-4-5,1-2-5,2-4-5,100,0,0,1-2-4|2-3-4|2-4-5|2-4-6|2-4-7,500,0,0,2-3-4|2-3-5|2-4-5|3-4-5,400,0,0,2-3-4|2-4-5|3-4-5,300,0,0
2220230728010011,1-4-7,4.8,0.15543786894447753,1.1666666666666667,1,1-3,1-3-4-7,1-3-4,1-3-7,100,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,3230,1,1-3-4|1-3-7|1-4-7|3-4-7,400,3230,1,1-3-4|1-3-7|3-4-7,300,3230,1
2220230828010008,1-4-7,4.5,0.1657169319905169,1.0222222222222221,0,,,2-3-5,,0,0,0,,0,0,0,,0,0,0,,0,0,0
2220230828010009,1-3-4,4.5,0.1655859080016712,1.088888888888889,0,,,1-3-4,,0,0,0,,0,0,0,,0,0,0,,0,0,0
2320230101010008,1-3-4,4.9,0.15238040475842035,1.0816326530612244,1,1-3,1-3-4-7,3-5-7,1-3-7,100,0,0,1-2-3|1-3-4|1-3-5|1-3-6|1-3-7,500,0,0,1-3-4|1-3-7|1-4-7|3-4-7,400,0,0,1-3-7|1-4-7|3-4-7,300,0,0
2320230101010009,1-2-3,7.4,0.10084738437585763,1.1756756756756754,2,1-2,1-2-3-5,1-3-7,1-2-5|1-3-7,200,1390,1,1-2-3|1-2-4|1-2-5|1-2-6|1-2-7,500,0,0,1-2-3|1-2-5|1-3-5|2-3-5,400,0,0,1-2-5|1-3-5|2-3-5,300,0,0
