race_id,purchased,reason,winner,winner_selected,winner_kind,stake_yen,payout_yen,profit_yen,tickets,ticket_count,hole_count,main_count,min_hit_roi_pct,reciprocal_odds_sum
1120230427010006,1,,1-5-7,1,main,500,640.0,140.0,main:1-3-7@6.0x1u | hole:5-6-7@26.1x1u | hole:2-5-6@12.8x1u | hole:2-5-7@9.4x1u | main:1-5-7@6.4x1u,5,3,2,120.0,0.545738822
1120230427010007,1,,1-2-4,0,,600,0,-600,main:1-3-5@3.8x2u | hole:2-4-7@9.1x1u | hole:2-5-6@256.7x1u | hole:2-3-6@308.1x1u | main:2-4-5@7.1x1u,5,3,2,118.333333,0.521034372
1120230427010008,1,,3-4-5,0,,800,0,-800,main:3-5-7@2.7x3u | hole:1-4-6@30.2x1u | hole:1-2-4@50.5x1u | hole:1-4-7@15.7x1u | main:1-3-7@4.1x2u,5,3,2,101.25,0.73088164
1120230427010009,1,,1-3-7,1,main,700,900.0,200.0,main:1-5-7@3.7x2u | hole:3-4-7@9.3x1u | hole:1-3-4@29.1x1u | hole:4-6-7@116.5x1u | main:1-3-7@4.5x2u,5,3,2,105.714286,0.642967326
1120230427010010,1,,2-5-7,1,main,800,990.0,190.0,main:2-5-7@3.3x3u | hole:3-4-7@12.2x1u | hole:3-4-5@137.6x1u | hole:1-3-7@45.3x1u | main:2-3-5@4.2x2u,5,3,2,105.0,0.652435251
1120230427010011,0,no_alternative_scenario,1-4-7,,,,,,,,,,,
1120230523010008,1,,2-5-7,1,main,800,960.0,160.0,main:2-5-7@3.2x3u | hole:2-3-4@30.7x1u | hole:3-4-5@28.0x1u | hole:1-2-3@98.6x1u | main:1-2-7@4.8x2u,5,3,2,120.0,0.599262897
1120230523010009,1,,1-2-5,0,,700,0,-700,main:1-2-4@2.6x3u | hole:2-6-7@494.8x1u | hole:1-3-6@218.1x1u | main:1-3-4@4.9x2u,4,2,2,111.428571,0.595303089
1120230523010010,1,,3-5-7,0,,1400,0,-1400,main:2-4-5@1.8x8u | hole:1-6-7@171.2x1u | hole:1-4-6@290.5x1u | hole:1-5-6@206.7x1u | main:4-5-7@5.0x3u,5,3,2,102.857143,0.769676947
1120230523010011,1,,1-4-7,1,main,800,900.0,100.0,main:1-4-7@3.0x3u | hole:2-4-5@17.9x1u | hole:1-2-5@32.7x1u | hole:4-5-6@152.9x1u | main:1-2-4@4.3x2u,5,3,2,107.5,0.658878657
