race_id,purchased,reason,winner,winner_selected,winner_kind,stake_yen,payout_yen,profit_yen,ticket_count,main_count,middle_count,hole_count,middle_candidates,hole_candidates,min_hit_roi_pct,tickets
1120230427010006,1,,1-5-7,0,,500,0,-500,5,1,1,3,1,3,120.0,main:1-3-7@6.0x1u | middle:3-5-7@7.2x1u | hole:5-6-7@26.1x1u | hole:2-5-6@12.8x1u | hole:4-6-7@235.9x1u
1120230427010007,1,,1-2-4,0,,500,0,-500,4,1,1,2,1,2,152.0,main:1-3-5@3.8x2u | middle:3-5-7@87.4x1u | hole:2-4-7@9.1x1u | hole:2-5-6@256.7x1u
1120230427010008,1,,3-4-5,0,,700,0,-700,5,1,1,3,1,3,115.714286,main:3-5-7@2.7x3u | middle:2-3-7@18.6x1u | hole:1-4-6@30.2x1u | hole:1-2-4@50.5x1u | hole:1-2-6@95.4x1u
1120230427010009,1,,1-3-7,1,middle,700,900.0,200.0,5,1,1,3,1,3,105.714286,main:1-5-7@3.7x2u | middle:1-3-7@4.5x2u | hole:3-4-7@9.3x1u | hole:4-6-7@116.5x1u | hole:3-5-6@593.1x1u
1120230427010010,1,,2-5-7,1,main,1200,1320.0,120.0,8,1,3,4,3,4,101.666667,main:2-5-7@3.3x4u | middle:2-4-5@20.3x1u | middle:2-3-7@9.4x2u | middle:2-5-6@22.0x1u | hole:3-4-7@12.2x1u | hole:1-3-7@45.3x1u | hole:3-5-6@244.2x1u | hole:4-5-6@473.2x1u
1120230427010011,1,,1-4-7,0,,100,0,-100,1,1,0,0,0,0,200.0,main:1-4-5@2.0x1u
1120230523010008,1,,2-5-7,1,main,600,640.0,40.0,5,1,3,1,3,1,106.666667,main:2-5-7@3.2x2u | middle:2-3-7@10.1x1u | middle:2-6-7@54.4x1u | middle:1-2-5@42.7x1u | hole:2-3-4@30.7x1u
1120230523010009,1,,1-2-5,0,,400,0,-400,3,1,2,0,2,0,130.0,main:1-2-4@2.6x2u | middle:2-4-5@30.5x1u | middle:1-4-6@12.9x1u
1120230523010010,1,,3-5-7,0,,1000,0,-1000,5,1,3,1,3,1,108.0,main:2-4-5@1.8x6u | middle:1-4-5@12.7x1u | middle:3-4-5@19.0x1u | middle:4-5-6@28.3x1u | hole:1-6-7@171.2x1u
1120230523010011,1,,1-4-7,1,main,800,900.0,100.0,5,1,2,2,2,2,107.5,main:1-4-7@3.0x3u | middle:1-3-4@21.9x1u | middle:1-2-4@4.3x2u | hole:2-4-5@17.9x1u | hole:4-5-6@152.9x1u
1120230603010006,1,,2-4-5,0,,700,0,-700,6,1,2,3,2,3,114.285714,main:3-4-5@4.0x2u | middle:2-3-5@19.7x1u | middle:4-5-6@65.3x1u | hole:2-4-6@23.7x1u | hole:1-2-6@160.8x1u | hole:2-6-7@187.4x1u
1120230603010007,1,,1-3-4,0,,1100,0,-1100,7,1,3,3,3,3,104.545455,main:3-4-5@2.3x5u | middle:2-4-5@23.7x1u | middle:4-5-7@15.4x1u | middle:4-5-6@112.7x1u | hole:2-3-7@24.2x1u | hole:2-3-6@80.1x1u | hole:5-6-7@513.9x1u
1120230603010008,1,,1-3-4,1,hole,1900,2040.0,140.0,8,1,3,4,3,4,105.263158,main:1-2-7@3.4x6u | middle:2-3-7@11.3x2u | middle:2-5-7@5.0x4u | middle:2-6-7@59.7x1u | hole:1-3-4@6.8x3u | hole:3-5-7@178.1x1u | hole:3-4-6@118.3x1u | hole:5-6-7@591.7x1u
1120230603010009,1,,1-4-7,0,,500,0,-500,4,1,2,1,2,1,120.0,main:1-3-4@3.0x2u | middle:3-4-5@27.2x1u | middle:3-4-6@26.8x1u | hole:1-5-7@8.8x1u
1120230603010010,1,,4-5-7,0,,200,0,-200,2,1,1,0,1,0,130.0,main:3-4-5@2.6x1u | middle:3-5-7@29.3x1u
1120230603010011,1,,2-4-5,1,middle,2100,2170.0,70.0,4,1,2,1,2,1,102.857143,main:2-5-7@2.4x9u | middle:2-4-5@3.1x7u | middle:2-3-5@5.4x4u | hole:4-5-6@234.7x1u
1120230622010006,1,,4-5-7,0,,300,0,-300,3,1,2,0,2,0,130.0,main:1-4-7@3.9x1u | middle:1-2-4@15.3x1u | middle:1-3-4@21.9x1u
1120230622010007,1,,2-3-5,0,,600,0,-600,5,1,1,3,1,3,140.0,main:2-5-7@4.2x2u | middle:2-5-6@42.2x1u | hole:3-5-6@31.6x1u | hole:3-4-5@55.2x1u | hole:3-4-6@93.1x1u
1120230622010008,1,,1-5-7,0,,800,0,-800,6,1,3,2,3,2,101.25,main:1-2-7@2.7x3u | middle:2-4-7@8.9x1u | middle:2-3-7@22.8x1u | middle:1-6-7@82.1x1u | hole:1-4-5@14.3x1u | hole:1-3-4@43.2x1u
1120230622010009,1,,1-3-4,1,middle,300,570.0,270.0,3,1,2,0,2,0,140.0,main:1-3-7@4.2x1u | middle:1-3-4@5.7x1u | middle:1-3-5@61.5x1u
1120230622010010,1,,3-4-5,0,,300,0,-300,3,1,2,0,2,0,123.333333,main:3-5-7@3.7x1u | middle:2-5-7@14.0x1u | middle:3-6-7@78.6x1u
1120230622010011,1,,1-3-4,1,hole,300,870.0,570.0,3,1,1,1,1,1,133.333333,main:1-5-6@4.0x1u | middle:1-2-5@17.0x1u | hole:1-3-4@8.7x1u
1120230715010004,1,,3-5-7,0,,800,0,-800,6,1,3,2,3,2,133.75,main:1-2-5@6.0x2u | middle:1-3-5@6.6x2u | middle:2-5-7@10.7x1u | middle:1-5-6@38.5x1u | hole:2-6-7@68.1x1u | hole:3-5-6@173.4x1u
1120230715010005,1,,3-7-9,1,middle,2300,2580.0,280.0,12,1,4,7,4,7,112.173913,main:3-5-7@6.9x4u | middle:3-7-9@8.6x3u | middle:3-4-7@36.6x1u | middle:3-6-7@74.5x1u | middle:1-3-7@7.3x4u | hole:2-7-9@15.8x2u | hole:1-7-9@13.0x2u | hole:1-4-6@92.7x1u | hole:1-3-8@92.0x1u | hole:2-6-9@114.0x1u | hole:1-2-9@14.0x2u | hole:4-6-9@101.3x1u
1120230715010006,1,,2-5-9,1,middle,800,840.0,40.0,7,1,4,2,4,2,105.0,main:1-2-9@6.1x2u | middle:1-2-7@14.1x1u | middle:2-5-9@8.4x1u | middle:2-4-9@29.8x1u | middle:2-6-9@36.3x1u | hole:1-3-7@37.8x1u | hole:1-3-4@91.1x1u
1120230715010007,1,,1-5-8,0,,500,0,-500,5,1,0,4,0,4,152.0,main:2-7-9@7.6x1u | hole:1-3-5@17.8x1u | hole:3-4-5@47.8x1u | hole:3-5-6@103.4x1u | hole:1-2-4@29.1x1u
1120230715010008,1,,1-4-5,1,main,600,650.0,50.0,6,1,4,1,4,1,108.333333,main:1-4-5@6.5x1u | middle:1-3-4@16.3x1u | middle:1-2-5@14.0x1u | middle:1-5-7@10.3x1u | middle:1-5-9@9.9x1u | hole:1-7-8@81.7x1u
1120230715010009,1,,2-3-5,0,,700,0,-700,5,1,3,1,3,1,131.428571,main:2-3-9@4.6x2u | middle:3-4-9@4.9x2u | middle:1-3-9@9.6x1u | middle:3-7-9@19.6x1u | hole:1-3-4@50.5x1u
