race_id,middle_sets,middle_set_count,3連複_points,3連複_stake_yen,3連複_payout_yen,3連複_profit_yen,3連複_hit,ワイド_points,ワイド_stake_yen,ワイド_payout_yen,ワイド_profit_yen,ワイド_hit,2車複_points,2車複_stake_yen,2車複_payout_yen,2車複_profit_yen,2車複_hit,2車単_points,2車単_stake_yen,2車単_payout_yen,2車単_profit_yen,2車単_hit,3連単_points,3連単_stake_yen,3連単_payout_yen,3連単_profit_yen,3連単_hit
1120230427010006,3-5-7,1,1,100,0,-100,0,3,300,230,-70,1,3,300,700,400,1,6,600,820,220,1,6,600,0,-600,0
1120230427010007,3-5-7,1,1,100,0,-100,0,3,300,0,-300,0,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1120230427010008,2-3-7,1,1,100,0,-100,0,3,300,0,-300,0,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1120230427010009,1-3-7,1,1,100,450,350,1,3,300,680,380,1,3,300,200,-100,1,6,600,240,-360,1,6,600,800,200,1
1120230427010010,2-3-7|2-4-5|2-5-6,3,3,300,0,-300,0,8,800,270,-530,1,8,800,150,-650,1,16,1600,220,-1380,1,18,1800,0,-1800,0
1120230523010008,1-2-5|2-3-7|2-6-7,3,3,300,0,-300,0,8,800,420,-380,1,8,800,0,-800,0,16,1600,0,-1600,0,18,1800,0,-1800,0
1120230523010009,1-4-6|2-4-5,2,2,200,0,-200,0,6,600,510,-90,1,6,600,0,-600,0,12,1200,0,-1200,0,12,1200,0,-1200,0
1120230523010010,1-4-5|3-4-5|4-5-6,3,3,300,0,-300,0,7,700,760,60,1,7,700,3800,3100,1,14,1400,5630,4230,1,18,1800,0,-1800,0
1120230523010011,1-2-4|1-3-4,2,2,200,0,-200,0,5,500,110,-390,1,5,500,140,-360,1,10,1000,280,-720,1,12,1200,0,-1200,0
1120230603010006,2-3-5|4-5-6,2,2,200,0,-200,0,6,600,560,-40,1,6,600,0,-600,0,12,1200,0,-1200,0,12,1200,0,-1200,0
1120230603010007,2-4-5|4-5-6|4-5-7,3,3,300,0,-300,0,7,700,0,-700,0,7,700,0,-700,0,14,1400,0,-1400,0,18,1800,0,-1800,0
1120230603010008,2-3-7|2-5-7|2-6-7,3,3,300,0,-300,0,7,700,0,-700,0,7,700,0,-700,0,14,1400,0,-1400,0,18,1800,0,-1800,0
1120230603010009,3-4-5|3-4-6,2,2,200,0,-200,0,5,500,0,-500,0,5,500,0,-500,0,10,1000,0,-1000,0,12,1200,0,-1200,0
1120230603010010,3-5-7,1,1,100,0,-100,0,3,300,1290,990,1,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1120230603010011,2-3-5|2-4-5,2,2,200,310,110,1,5,500,490,-10,1,5,500,110,-390,1,10,1000,320,-680,1,12,1200,1050,-150,1
1120230622010006,1-2-4|1-3-4,2,2,200,0,-200,0,5,500,0,-500,0,5,500,0,-500,0,10,1000,0,-1000,0,12,1200,0,-1200,0
1120230622010007,2-5-6,1,1,100,0,-100,0,3,300,140,-160,1,3,300,200,-100,1,6,600,300,-300,1,6,600,0,-600,0
1120230622010008,1-6-7|2-3-7|2-4-7,3,3,300,0,-300,0,8,800,180,-620,1,8,800,0,-800,0,16,1600,0,-1600,0,18,1800,0,-1800,0
1120230622010009,1-3-4|1-3-5,2,2,200,570,370,1,5,500,650,150,1,5,500,4460,3960,1,10,1000,8730,7730,1,12,1200,15460,14260,1
1120230622010010,2-5-7|3-6-7,2,2,200,0,-200,0,6,600,0,-600,0,6,600,0,-600,0,12,1200,0,-1200,0,12,1200,0,-1200,0
1120230622010011,1-2-5,1,1,100,0,-100,0,3,300,0,-300,0,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1120230715010004,1-3-5|1-5-6|2-5-7,3,3,300,0,-300,0,8,800,830,30,1,8,800,1500,700,1,16,1600,2160,560,1,18,1800,0,-1800,0
1120230715010005,1-3-7|3-4-7|3-6-7|3-7-9,4,4,400,860,460,1,9,900,790,-110,1,9,900,2220,1320,1,18,1800,3230,1430,1,24,2400,9570,7170,1
1120230715010006,1-2-7|2-4-9|2-5-9|2-6-9,4,4,400,840,440,1,10,1000,1370,370,1,10,1000,260,-740,1,20,2000,550,-1450,1,24,2400,2170,-230,1
1120230715010008,1-2-5|1-3-4|1-5-7|1-5-9,4,4,400,0,-400,0,10,1000,570,-430,1,10,1000,1380,380,1,20,2000,2090,90,1,24,2400,0,-2400,0
1120230715010009,1-3-9|3-4-9|3-7-9,3,3,300,0,-300,0,7,700,0,-700,0,7,700,0,-700,0,14,1400,0,-1400,0,18,1800,0,-1800,0
1120230715010010,2-3-5|2-4-5|2-5-6|2-5-7|2-5-9,5,5,500,0,-500,0,11,1100,110,-990,1,11,1100,130,-970,1,22,2200,210,-1990,1,30,3000,0,-3000,0
1120230715010011,1-3-5|1-5-6|1-5-8,3,3,300,0,-300,0,7,700,2130,1430,1,7,700,6510,5810,1,14,1400,4690,3290,1,18,1800,0,-1800,0
1120230823010006,1-2-3|2-3-5|2-3-6|2-3-7,4,4,400,1030,630,1,9,900,680,-220,1,9,900,250,-650,1,18,1800,620,-1180,1,24,2400,2360,-40,1
1120230823010007,1-3-4|1-4-6|1-5-7,3,3,300,0,-300,0,8,800,260,-540,1,8,800,390,-410,1,16,1600,700,-900,1,18,1800,0,-1800,0
1120230823010008,1-2-4|1-5-7,2,2,200,0,-200,0,6,600,1320,720,1,6,600,0,-600,0,12,1200,0,-1200,0,12,1200,0,-1200,0
1120230823010009,1-3-7|1-5-7,2,2,200,0,-200,0,5,500,130,-370,1,5,500,0,-500,0,10,1000,0,-1000,0,12,1200,0,-1200,0
1120230823010011,1-2-5|2-3-5|2-4-5|2-6-7,4,4,400,0,-400,0,10,1000,240,-760,1,10,1000,150,-850,1,20,2000,170,-1830,1,24,2400,0,-2400,0
1120230926010006,1-4-5|1-4-6|1-4-7,3,3,300,0,-300,0,7,700,110,-590,1,7,700,190,-510,1,14,1400,230,-1170,1,18,1800,0,-1800,0
1120230926010007,1-3-4|3-4-6,2,2,200,0,-200,0,5,500,160,-340,1,5,500,270,-230,1,10,1000,1090,90,1,12,1200,0,-1200,0
1120230926010008,1-2-4|4-5-7,2,2,200,1490,1290,1,6,600,1400,800,1,6,600,3000,2400,1,12,1200,4290,3090,1,12,1200,16470,15270,1
1120230926010010,1-3-6|1-3-7,2,2,200,0,-200,0,5,500,0,-500,0,5,500,0,-500,0,10,1000,0,-1000,0,12,1200,0,-1200,0
1120230926010011,1-2-7|1-3-7|1-6-7,3,3,300,0,-300,0,7,700,2900,2200,1,7,700,0,-700,0,14,1400,0,-1400,0,18,1800,0,-1800,0
1120231023010006,1-4-7|3-4-7|4-6-7,3,3,300,0,-300,0,7,700,0,-700,0,7,700,0,-700,0,14,1400,0,-1400,0,18,1800,0,-1800,0
1120231023010007,3-4-7,1,1,100,0,-100,0,3,300,0,-300,0,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1120231023010008,2-3-4|3-5-7|3-6-7,3,3,300,0,-300,0,8,800,1460,660,1,8,800,6130,5330,1,16,1600,22250,20650,1,18,1800,0,-1800,0
1120231023010009,1-4-5,1,1,100,0,-100,0,3,300,140,-160,1,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1120231023010010,1-4-5,1,1,100,0,-100,0,3,300,160,-140,1,3,300,210,-90,1,6,600,400,-200,1,6,600,0,-600,0
1120231023010011,1-2-7|1-5-6,2,2,200,0,-200,0,6,600,260,-340,1,6,600,160,-440,1,12,1200,520,-680,1,12,1200,0,-1200,0
1220230702010006,1-3-4|1-3-5|2-3-7,3,3,300,1820,1520,1,8,800,1650,850,1,8,800,2480,1680,1,16,1600,11770,10170,1,18,1800,25250,23450,1
1220230702010007,4-5-7,1,1,100,0,-100,0,3,300,0,-300,0,3,300,0,-300,0,6,600,0,-600,0,6,600,0,-600,0
1220230702010008,3-4-5|3-6-7,2,2,200,0,-200,0,6,600,150,-450,1,6,600,190,-410,1,12,1200,330,-870,1,12,1200,0,-1200,0
1220230702010009,2-3-5|2-4-5,2,2,200,0,-200,0,5,500,570,70,1,5,500,2010,1510,1,10,1000,5410,4410,1,12,1200,0,-1200,0
1220230702010010,1-2-7|2-5-7|2-6-7,3,3,300,690,390,1,7,700,840,140,1,7,700,160,-540,1,14,1400,340,-1060,1,18,1800,1430,-370,1
1220230702010011,1-3-4|2-4-5,2,2,200,0,-200,0,6,600,110,-490,1,6,600,140,-460,1,12,1200,330,-870,1,12,1200,0,-1200,0
1220230709010006,2-3-4|2-4-6,2,2,200,0,-200,0,5,500,100,-400,1,5,500,100,-400,1,10,1000,300,-700,1,12,1200,0,-1200,0
1220230709010007,2-3-5|2-5-6|4-5-7,3,3,300,0,-300,0,8,800,600,-200,1,8,800,490,-310,1,16,1600,770,-830,1,18,1800,0,-1800,0
