strategy,segment,race_id,race_date,month,track,race_no,formation,bets,stake_yen,payout_yen,profit_yen,hit,A,B,M3,R1L,R1B,pair_score_gap,pair_win_gap,rival_top3,pair_top3_gap,r1l_score,main_top2
middle,中盤,2420260101010009,2026-01-01,2026-01,宇都宮競輪,9,MIX2,1-5-2|4-2-5,200,0,-200,0,1,5,7,4,2,13.159999999999968,29.799999999999997,86.7,31.299999999999997,95.94,85.2
middle,中盤,7320260103010010,2026-01-03,2026-01,小松島競輪,10,MIX2,4-1-7|3-7-1,200,0,-200,0,4,1,6,3,7,18.799999999999983,55.300000000000004,100.1,17.400000000000006,101.0,94.1
early,前半,8320260106010009,2026-01-06,2026-01,久留米競輪,9,MIX2,1-5-7|3-7-5,200,0,-200,0,1,5,6,3,7,3.069999999999993,-7.100000000000001,72.9,9.699999999999989,100.18,48.7
middle,中盤,8420260118010008,2026-01-18,2026-01,武雄競輪,8,MIX2,5-7-4|1-4-7,200,0,-200,0,5,7,2,1,4,7.260000000000019,6.300000000000001,96.3,12.5,99.28,71.80000000000001
early,前半,3620260125010006,2026-01-25,2026-01,小田原競輪,6,MIX2,4-3-2|7-2-3,200,0,-200,0,4,3,5,7,2,1.8600000000000136,-16.6,74.6,13.200000000000017,99.96,52.2
middle,中盤,2620260127010009,2026-01-27,2026-01,西武園競輪,9,MIX2,2-5-1|6-1-5,200,0,-200,0,2,5,7,6,1,18.150000000000006,24.4,84.2,24.099999999999994,94.28,75.4
early,前半,2420260131010006,2026-01-31,2026-01,宇都宮競輪,6,MIX2,5-7-4|2-4-7,200,0,-200,0,5,7,3,2,4,4.599999999999994,-0.29999999999999716,68.7,13.299999999999997,98.68,55.0
early,前半,2420260131010007,2026-01-31,2026-01,宇都宮競輪,7,MIX2,3-5-4|2-4-5,200,0,-200,0,3,5,7,2,4,5.310000000000002,-12.399999999999999,78.9,26.19999999999999,99.76,72.8
early,前半,3120260204010007,2026-02-04,2026-02,松戸競輪,7,MIX2,4-3-5|2-5-3,200,0,-200,0,4,3,6,2,5,3.7600000000000193,-17.699999999999996,102.6,-6.3999999999999915,98.26,72.8
middle,中盤,3120260204010009,2026-02-04,2026-02,松戸競輪,9,MIX2,7-1-5|3-5-1,200,0,-200,0,7,1,4,3,5,19.02000000000001,33.0,81.9,18.5,98.91,88.0
late,後半,3120260204010010,2026-02-04,2026-02,松戸競輪,10,MAIN4_X,2-5-3|5-2-3|2-5-7|5-2-7,400,470,70,1,2,5,3,7,1,7.100000000000023,-12.0,75.0,25.0,100.0,50.8
early,前半,7420260210010009,2026-02-10,2026-02,高知競輪,9,MIX2,1-7-3|6-3-7,200,710,510,1,1,7,5,6,3,5.640000000000015,-4.199999999999999,87.5,-10.700000000000003,93.68,49.9
late,後半,7420260210010011,2026-02-10,2026-02,高知競輪,11,MAIN4_X,7-1-6|1-7-6|7-1-5|1-7-5,400,0,-400,0,7,1,6,5,2,4.4599999999999795,22.9,78.0,4.599999999999994,104.0,65.3
early,前半,2420260214010007,2026-02-14,2026-02,宇都宮競輪,7,MIX2,5-3-7|1-7-3,200,0,-200,0,5,3,4,1,7,0.6800000000000068,-19.0,77.3,5.5,98.81,41.4
middle,中盤,4320260216010009,2026-02-16,2026-02,岐阜競輪,9,MIX2,2-7-1|5-1-7,200,710,510,1,2,7,4,5,1,0.75,11.7,81.1,10.800000000000011,98.03,52.7
early,前半,3720260220010006,2026-02-20,2026-02,伊東競輪,6,MIX2,2-4-5|1-5-4,200,0,-200,0,2,4,6,1,5,0.009999999999990905,-4.399999999999995,75.4,-7.5,94.92,41.0
early,前半,3720260220010007,2026-02-20,2026-02,伊東競輪,7,MIX2,7-2-3|5-3-2,200,0,-200,0,7,2,4,5,3,2.6799999999999784,-16.5,144.7,-33.79999999999998,98.4,66.3
middle,中盤,6320260221010009,2026-02-21,2026-02,防府競輪,9,MIX2,5-2-4|1-4-2,200,0,-200,0,5,2,3,1,4,2.309999999999974,-16.599999999999998,84.0,14.400000000000006,100.88,69.0
early,前半,2220260225010006,2026-02-25,2026-02,前橋競輪,6,MIX2,7-3-6|1-6-3,200,0,-200,0,7,3,5,1,6,2.7199999999999704,-6.300000000000001,95.8,-11.899999999999991,101.55,57.3
middle,中盤,3620260225010009,2026-02-25,2026-02,小田原競輪,9,MIX2,5-2-7|3-7-2,200,0,-200,0,5,2,6,3,7,5.159999999999997,6.099999999999994,88.7,22.799999999999997,101.1,52.400000000000006
early,前半,7520260227010007,2026-02-27,2026-02,松山競輪,7,MIX2,4-1-3|5-3-1,200,0,-200,0,4,1,6,5,3,1.4000000000000057,-7.700000000000003,59.2,28.499999999999986,99.08,50.8
late,後半,8320260301010011,2026-03-01,2026-03,久留米競輪,11,MAIN4_X,5-1-3|1-5-3|5-1-2|1-5-2,400,1090,690,1,5,1,3,2,4,8.950000000000017,3.1999999999999993,63.0,13.599999999999994,101.07,55.7
