category,period,asset_name,bytes,sha256,release_tag
G1G2,2021,g1-g2-2021-non-girls-corrected.zip,2993916,d3d409920cbbb465347044ba086b7eab03428df045d34c33b41ce7067e8eff3b,grade-race-databank-2026-09-02
G1G2,2022,g1-g2-2022-non-girls.zip,2927894,f477f21d50e1d047bb6056d4a96e60e772ef6343d8426db8fde7de7dfc00cf44,grade-race-databank-2026-09-02
G1G2,2023,g1-g2-2023-non-girls.zip,3127130,34ea23b896c04e618cd08ff66400ad89b6dd9d450970aba3623d5407b1f3d08d,grade-race-databank-2026-09-02
G1G2,2024,g1-g2-2024-non-girls.zip,3162558,814e106c4b77c914b2832b159099591ee61226b4b8353101314405d7e07c9e48,grade-race-databank-2026-09-02
G1G2,2025,g1-g2-2025-non-girls.zip,3262247,22a7e95ffb086b30c34e255a525fed28ad7f726d094e971790baaf81cfbcdd0a,grade-race-databank-2026-09-02
G3,2022-Q1,g3-all-2022-q1-non-girls.zip,3138945,d21f840ae79865c8e0acee0c7833b066b94a2369b202fdd931d8792a616c098e,grade-race-databank-2026-09-02
G3,2022-Q2,g3-all-2022-q2-non-girls.zip,2710683,fbe6b33697fdaadfe88d3685560d762e90d7d5ee25ef90caa51077ab14959454,grade-race-databank-2026-09-02
G3,2022-Q3,g3-all-2022-q3-non-girls.zip,2881683,6082df65ca22ebd2aa013142efca61e160b49b701f31f2c0773309842d633dd0,grade-race-databank-2026-09-02
G3,2022-Q4,g3-all-2022-q4-non-girls.zip,3148008,553527bf4cf4e83bef0626eff0d1706b90b910ac81297b30a2f9ce09a7b30efa,grade-race-databank-2026-09-02
G3,2023-Q1,g3-all-2023-q1-non-girls.zip,3009006,c478dbdc21a0f4515109e66143fce667df9e45af48ceb7c9e9a22ba15203b0b4,grade-race-databank-2026-09-02
G3,2023-Q2,g3-all-2023-q2-non-girls.zip,3079525,a27f1e39f1466e7ac6e01342ef58f70c525f5644bab5db498b528921ffff6a10,grade-race-databank-2026-09-02
G3,2023-Q3,g3-all-2023-q3-non-girls.zip,3305114,f9b5b0fcbde3262602526b5dc8a3af532893af39f41aca8dffda605aa03d3022,grade-race-databank-2026-09-02
G3,2023-Q4,g3-all-2023-q4-non-girls.zip,3085214,6ef183d93aca496fdcaba1e929c94075a00c016cf8715cdebb590075ea3be02d,grade-race-databank-2026-09-02
G3,2024-Q1,g3-2024-q1.zip,3208302,1c7e4ca4b6eea44cec3eb378d673a5a61fa03dd7a6b56653d1f94580097edaac,grade-race-databank-2026-09-02
G3,2024-Q2,g3-2024-q2.zip,2880495,e89b9768dd331618ab21b4bc3512a48519cd4a795d2b71531b685775ae9554c1,grade-race-databank-2026-09-02
G3,2024-Q3,g3-2024-q3.zip,2992539,ceee1476c03b7dfa9719ed2800c90604180d6211b80cc2abe954615cffe46b1e,grade-race-databank-2026-09-02
G3,2024-Q4,g3-2024-q4.zip,3143641,07799921346f2070f5330425983127e884ce95ba8d13b7dbc02b725a21cb7eef,grade-race-databank-2026-09-02
G3,2025-Q1,g3-2025-q1.zip,3669588,1edae314aadc767266b6cde860d0eeea67e9f21d16822a80d6b762248c18ed23,grade-race-databank-2026-09-02
G3,2025-Q2,g3-2025-q2.zip,2987572,b83c5cebb7cb5d5c5e589c8bbaa2aaeba8af61ee3c2b0ecd2464cd1a0b7fb679,grade-race-databank-2026-09-02
G3,2025-Q3,g3-2025-q3.zip,3120974,d9ea4b2541d6daf7cb7ff2d9e48c322746a877bf8ba8fcf2b68d42b8317ce1ef,grade-race-databank-2026-09-02
G3,2025-Q4,g3-2025-q4.zip,2932555,893269283f2e1b94de3e5c090fbb8e45c01929ead1b526410ca38cecd7992e64,grade-race-databank-2026-09-02
G3,2026-Q1,g3-2026-q1-non-girls.zip,3568674,b8a1a7cc1244123d627e2f597f1372f5b9103c4a3ea51c4fcfa7baab2791ebde,grade-race-databank-2026-09-02
G3,2026-Q2,g3-2026-q2-non-girls.zip,3139901,ebdf5ff21f13e56518921c1dd56b181411715dfde108b6757ebf091dc14f97fc,grade-race-databank-2026-09-02
