race_id,race_date,track,race_no,race_type,participate,first,second,third,actual,ticket_count,odds_complete,stake_yen,return_yen,profit_yen
2720240101010008,2024-01-01,京王閣競輪,8,Ｓ級予選,1,7-5,5-7-2,1-3-4,5-2-7,12,1,5000,0,-5000
2720240101010009,2024-01-01,京王閣競輪,9,Ｓ級予選,0,5-7,5-7,3-4-1,7-5-3,6,1,5000,14520,9520
2720240101010010,2024-01-01,京王閣競輪,10,Ｓ級予選,0,1,1-5,7-3,1-5-3,2,1,5000,16720,11720
2720240101010011,2024-01-01,京王閣競輪,11,Ｓ級予選,0,5,5-1,7-3-2,3-5-2,3,1,5000,0,-5000
2720240101010012,2024-01-01,京王閣競輪,12,Ｓ級初特選,1,5-3,3-5,7-2,6-5-2,4,1,5000,0,-5000
4420231231020007,2024-01-01,大垣競輪,7,Ｓ級一般,0,1-3,1-3,5-4-2,1-5-3,6,0,0,0,
4420231231020008,2024-01-01,大垣競輪,8,Ｓ級選抜,0,4-1,4-1-3,3-1-2,1-7-5,7,1,5000,0,-5000
4420231231020010,2024-01-01,大垣競輪,10,Ｓ級準決勝,0,4-1,4-1-5,7-5-3,6-4-5,10,1,5000,0,-5000
4420231231020011,2024-01-01,大垣競輪,11,Ｓ級準決勝,0,3,3-1-7,2-1-7,3-2-4,4,1,5000,0,-5000
4420231231020012,2024-01-01,大垣競輪,12,Ｓ級準決勝,0,1-3,5-1,7-3,1-5-3,4,1,5000,12780,7780
5620231231020006,2024-01-01,岸和田競輪,6,Ｓ級予選２,1,3-5,3-5,7-4-2,3-5-2,6,1,5000,6860,1860
5620231231020007,2024-01-01,岸和田競輪,7,Ｓ級予選２,1,5-1,5-1-2,7-4-1,5-2-4,9,1,5000,8080,3080
5620231231020008,2024-01-01,岸和田競輪,8,Ｓ級予選２,0,4-2,4-3-2,7-6-3,3-4-7,10,1,5000,0,-5000
5620231231020009,2024-01-01,岸和田競輪,9,Ｓ級予選２,0,2,2-4-7,4-1-3,6-2-7,5,1,5000,0,-5000
5620231231020010,2024-01-01,岸和田競輪,10,Ｓ級予選２,1,4-5,4-5-1,5-2-3,5-3-7,9,1,5000,0,-5000
5620231231020011,2024-01-01,岸和田競輪,11,Ｓ級予選２,0,7,7-5-4,1-3-5,4-7-1,5,1,5000,0,-5000
5620231231020012,2024-01-01,岸和田競輪,12,Ｓ級予選２,0,5-1,5-1,6-2-4,5-4-3,6,1,5000,0,-5000
3520240101010006,2024-01-01,平塚競輪,6,Ｓ級予選１,0,5-1,5-4-1,7-3-4,5-7-6,10,1,5000,0,-5000
3520240101010007,2024-01-01,平塚競輪,7,Ｓ級予選１,0,5-1,1-4-5,3-4-6,4-3-5,10,1,5000,0,-5000
3520240101010008,2024-01-01,平塚競輪,8,Ｓ級予選１,0,3-7,7-3,1-2,3-7-1,4,1,5000,7770,2770
3520240101010009,2024-01-01,平塚競輪,9,Ｓ級予選１,0,2-4,2-4-5,7-5-1,2-5-1,10,1,5000,10920,5920
3520240101010010,2024-01-01,平塚競輪,10,Ｓ級予選１,0,1,1-7,5-4,1-7-5,2,1,5000,11900,6900
3520240101010011,2024-01-01,平塚競輪,11,Ｓ級予選１,1,2-7,2-7,4-3-1,2-7-6,6,1,5000,0,-5000
3520240101010012,2024-01-01,平塚競輪,12,Ｓ級初特選,0,2-7,2-7-1,6-5-1,7-1-6,10,1,5000,21760,16760
2720240101020008,2024-01-02,京王閣競輪,8,Ｓ級選抜,0,2,2-7-1,4-1-5,6-7-3,5,1,5000,0,-5000
2720240101020009,2024-01-02,京王閣競輪,9,Ｓ級選抜,0,2-3-5,2-3-4,7-3-5,1-7-3,14,1,5000,0,-5000
2720240101020010,2024-01-02,京王閣競輪,10,Ｓ級準決勝,0,1-2,1-2-4,3-7-2,1-4-3,9,1,5000,19980,14980
2720240101020011,2024-01-02,京王閣競輪,11,Ｓ級準決勝,0,7-2-4,7-4-2,1-3-2,1-7-5,14,1,5000,0,-5000
2720240101020012,2024-01-02,京王閣競輪,12,Ｓ級準決勝,0,2,2-5-3,4-5-1,5-2-4,5,1,5000,0,-5000
4420231231030008,2024-01-02,大垣競輪,8,Ｓ級特選,0,3,3-7,5-2-7,7-5-2,2,1,5000,0,-5000
4420231231030009,2024-01-02,大垣競輪,9,Ｓ級特選,0,1,1-5,3-4,1-3-5,2,1,5000,0,-5000
4420231231030010,2024-01-02,大垣競輪,10,Ｓ級特選,0,1,1-5-2,4-2,2-7-6,3,1,5000,0,-5000
4420231231030012,2024-01-02,大垣競輪,12,Ｓ級決勝,0,5-1,5-1-7,2-7-3,1-5-7,10,1,5000,17280,12280
5620231231030006,2024-01-02,岸和田競輪,6,Ｓ級一般,0,7-4-1,7-4-5,1-2-4,5-2-3,14,1,5000,0,-5000
5620231231030007,2024-01-02,岸和田競輪,7,Ｓ級一般,0,5,5-1,7-4-2,5-7-1,3,1,5000,0,-5000
5620231231030008,2024-01-02,岸和田競輪,8,Ｓ級選抜,0,3-1,3-7-1,4-5-7,4-3-7,10,1,5000,0,-5000
5620231231030009,2024-01-02,岸和田競輪,9,Ｓ級選抜,0,7,7-3,4-2-5,3-4-7,3,1,5000,0,-5000
5620231231030010,2024-01-02,岸和田競輪,10,Ｓ級準決勝,0,1-2,1-7-3,4-2-3,2-3-4,10,1,5000,28350,23350
5620231231030011,2024-01-02,岸和田競輪,11,Ｓ級準決勝,0,4-7-1,1-7-3,7-1-2,7-4-2,13,1,5000,0,-5000
5620231231030012,2024-01-02,岸和田競輪,12,Ｓ級準決勝,0,4-1,4-1,5-3-2,1-4-3,6,1,5000,8800,3800
3520240101020006,2024-01-02,平塚競輪,6,Ｓ級予選２,0,7-2,7-2,4-3,3-5-2,4,1,5000,0,-5000
3520240101020007,2024-01-02,平塚競輪,7,Ｓ級予選２,0,7-3,5-3-1,5-7-3,7-3-4,7,1,5000,0,-5000
3520240101020008,2024-01-02,平塚競輪,8,Ｓ級予選２,0,7,7-2-1,5-1-3,7-1-2,5,1,5000,0,-5000
3520240101020009,2024-01-02,平塚競輪,9,Ｓ級予選２,0,2-1,2-1-4,7-4-2,2-4-3,7,1,5000,0,-5000
3520240101020010,2024-01-02,平塚競輪,10,Ｓ級予選２,0,1,5-1,4-3-6,5-1-2,3,1,5000,0,-5000
3520240101020011,2024-01-02,平塚競輪,11,Ｓ級予選２,0,1-4,1-4,5-3-7,1-4-3,6,1,5000,6560,1560
3520240101020012,2024-01-02,平塚競輪,12,Ｓ級予選２,0,1,1-7-5,4-3-7,1-4-3,5,1,5000,0,-5000
2720240101030008,2024-01-03,京王閣競輪,8,Ｓ級特選,0,2-1,1-2-7,4-2-5,7-1-2,9,1,5000,0,-5000
2720240101030009,2024-01-03,京王閣競輪,9,Ｓ級特選,1,3-2,3-2-7,4-7-2,3-5-6,7,1,5000,0,-5000
2720240101030010,2024-01-03,京王閣競輪,10,Ｓ級特選,0,7-3-1,3-7-1,2-4-1,3-7-1,14,1,5000,17160,12160
2720240101030012,2024-01-03,京王閣競輪,12,Ｓ級決勝,0,1-3,3-1,4-2-7,3-5-4,6,1,5000,0,-5000
8620240103010007,2024-01-03,別府競輪,7,Ｓ級予選,1,1-5,1-5,6-3-7,5-1-3,6,1,5000,10000,5000
8620240103010008,2024-01-03,別府競輪,8,Ｓ級予選,0,2-7,7-2,4-5,7-2-4,4,0,0,0,
8620240103010009,2024-01-03,別府競輪,9,Ｓ級予選,1,2-5,2-5,7-1-5,6-2-3,4,1,5000,0,-5000
8620240103010010,2024-01-03,別府競輪,10,Ｓ級予選,0,2,2-7-3,4-3-5,1-7-2,5,1,5000,0,-5000
8620240103010011,2024-01-03,別府競輪,11,Ｓ級予選,0,1-3,5-3-1,7-1-5,3-5-1,7,1,5000,25080,20080
8620240103010012,2024-01-03,別府競輪,12,Ｓ級初特選,1,2-4,2-4,1-5-7,2-1-5,6,1,5000,0,-5000
5620231231040005,2024-01-03,岸和田競輪,5,Ｓ級一般,0,1-7,1-7-3,5-7-4,1-5-3,9,1,5000,0,-5000
5620231231040006,2024-01-03,岸和田競輪,6,Ｓ級一般,0,2-3,2-3-7,4-5-7,2-4-7,10,1,5000,0,-5000
5620231231040007,2024-01-03,岸和田競輪,7,Ｓ級一般,0,3-1,3-1-5,7-4-1,1-3-7,9,1,5000,22220,17220
5620231231040009,2024-01-03,岸和田競輪,9,Ｓ級特選,0,2-1-3,2-3-4,7-1-2,7-3-5,14,1,5000,0,-5000
5620231231040010,2024-01-03,岸和田競輪,10,Ｓ級特選,0,2,2-4,6-5-4,2-4-7,2,1,5000,0,-5000
5620231231040011,2024-01-03,岸和田競輪,11,Ｓ級特選,1,5-2,5-2,1-4-3,5-2-3,6,1,5000,11720,6720
5620231231040012,2024-01-03,岸和田競輪,12,Ｓ級決勝,0,1-2-5,1-5-2,2-7-4,2-1-4,14,1,5000,20520,15520
3520240101030008,2024-01-03,平塚競輪,8,Ｓ級選抜,0,1,1-2-5,4-1-5,5-2-3,3,1,5000,0,-5000
3520240101030009,2024-01-03,平塚競輪,9,Ｓ級選抜,0,5-7,5-1-3,4-7-1,5-3-2,10,1,5000,0,-5000
3520240101030010,2024-01-03,平塚競輪,10,Ｓ級準決勝,0,3-5-7,3-7-5,1-5-4,3-5-7,14,1,5000,0,-5000
3520240101030011,2024-01-03,平塚競輪,11,Ｓ級準決勝,0,5,5-7,2-1-4,5-4-3,3,1,5000,0,-5000
3520240101030012,2024-01-03,平塚競輪,12,Ｓ級準決勝,0,7-5,7-5-2,1-4-6,4-3-7,12,1,5000,0,-5000
7420240103010008,2024-01-03,高知競輪,8,Ｓ級予選,0,5-1,5-1-2,7-2-1,2-1-5,7,1,5000,0,-5000
7420240103010009,2024-01-03,高知競輪,9,Ｓ級予選,0,1-7-4,4-1-7,2-7-1,2-7-3,10,1,5000,0,-5000
7420240103010010,2024-01-03,高知競輪,10,Ｓ級予選,0,7-1,7-1,4-2-1,1-7-4,4,1,5000,10400,5400
7420240103010011,2024-01-03,高知競輪,11,Ｓ級予選,0,1-5,1-4-5,7-3-4,1-4-6,10,0,0,0,
7420240103010012,2024-01-03,高知競輪,12,Ｓ級初日特選,0,1,1-7-2,4-3-7,1-4-6,5,1,5000,0,-5000
8620240103020008,2024-01-04,別府競輪,8,Ｓ級選抜,0,5-3-2,3-5-1,7-2-1,3-4-5,15,1,5000,0,-5000
8620240103020009,2024-01-04,別府競輪,9,Ｓ級選抜,1,5-1,5-1,4-6-7,1-5-3,6,1,5000,0,-5000
8620240103020010,2024-01-04,別府競輪,10,Ｓ級準決勝,0,3-1-2,1-3,2-4-7,6-4-2,10,1,5000,0,-5000
8620240103020011,2024-01-04,別府競輪,11,Ｓ級準決勝,0,5-7-4,7-5-1,2-3-7,2-1-7,17,1,5000,0,-5000
8620240103020012,2024-01-04,別府競輪,12,Ｓ級準決勝,0,1-3,1-5-3,4-3-2,1-3-2,9,1,5000,9000,4000
3520240101040007,2024-01-04,平塚競輪,7,Ｓ級一般,0,1-3,1-3-2,7-2-4,5-2-6,10,1,5000,0,-5000
3520240101040008,2024-01-04,平塚競輪,8,Ｓ級特選,0,1-3,1-3-4,2-1-7,1-4-6,9,1,5000,0,-5000
3520240101040009,2024-01-04,平塚競輪,9,Ｓ級特選,0,3-4-1,1-5-3,7-3-5,5-1-6,14,1,5000,0,-5000
3520240101040010,2024-01-04,平塚競輪,10,Ｓ級特選,1,3-2,2-3,7-4-1,3-4-7,6,1,5000,0,-5000
3520240101040012,2024-01-04,平塚競輪,12,Ｓ級決勝,0,1-3,1-4,7-4-3,4-1-7,5,1,5000,0,-5000
7420240103020009,2024-01-04,高知競輪,9,Ｓ級一般,0,5-4-2,4-1-5,6-4-1,2-5-1,14,1,5000,16890,11890
7420240103020010,2024-01-04,高知競輪,10,Ｓ級準決勝,0,4-3,4-3,7-5-1,2-5-1,6,1,5000,0,-5000
7420240103020011,2024-01-04,高知競輪,11,Ｓ級準決勝,0,5-1,1-5-2,4-7-1,5-3-2,9,1,5000,0,-5000
7420240103020012,2024-01-04,高知競輪,12,Ｓ級準決勝,0,3-7,3-7-2,5-2-4,3-2-5,10,1,5000,21600,16600
8620240103030008,2024-01-05,別府競輪,8,Ｓ級特選,0,4,4-1,7-3-2,4-1-2,3,1,5000,15400,10400
8620240103030009,2024-01-05,別府競輪,9,Ｓ級特選,0,1-4-2,1-2-7,1-3-5,7-2-4,17,1,5000,0,-5000
8620240103030010,2024-01-05,別府競輪,10,Ｓ級特選,0,1-2-4,1-2-4,7-4-5,2-4-1,14,1,5000,0,-5000
8620240103030012,2024-01-05,別府競輪,12,Ｓ級決勝,0,1,1-7,5-4-2,7-6-1,3,1,5000,0,-5000
7420240103030008,2024-01-05,高知競輪,8,Ｓ級特選,0,7-3,7-2,5-1-2,5-3-1,7,1,5000,0,-5000
7420240103030009,2024-01-05,高知競輪,9,Ｓ級特選,0,3-1,2-5-3,4-5-2,1-2-7,11,1,5000,0,-5000
7420240103030012,2024-01-05,高知競輪,12,Ｓ級決勝,0,2-5,2-5-7,1-3-7,7-4-5,10,1,5000,0,-5000
3720240106010006,2024-01-06,伊東競輪,6,Ｓ級予選,0,7-3,3-4-7,7-2-1,5-7-1,9,1,5000,0,-5000
3720240106010007,2024-01-06,伊東競輪,7,Ｓ級予選,0,1-4,1-4-7,5-3-4,7-3-6,9,1,5000,0,-5000
3720240106010008,2024-01-06,伊東競輪,8,Ｓ級予選,0,2-7,2-7,4-3-7,7-4-2,4,1,5000,0,-5000
3720240106010009,2024-01-06,伊東競輪,9,Ｓ級予選,0,1,1-4,7-2,1-4-7,2,1,5000,14700,9700
3720240106010010,2024-01-06,伊東競輪,10,Ｓ級予選,0,2,2-7-3,3-5-7,2-5-4,4,1,5000,0,-5000
3720240106010011,2024-01-06,伊東競輪,11,Ｓ級予選,0,3,3-4,1-2-7,3-4-1,3,1,5000,9900,4900
3720240106010012,2024-01-06,伊東競輪,12,Ｓ級初特選,0,1-3,1-7-4,3-4-5,3-1-4,10,1,5000,24240,19240
3720240106020008,2024-01-07,伊東競輪,8,Ｓ級選抜,0,3-4-5,5-1-3,4-7-2,1-2-7,18,1,5000,0,-5000
3720240106020009,2024-01-07,伊東競輪,9,Ｓ級選抜,0,7-3,7-3-4,1-4-7,4-1-7,7,1,5000,0,-5000
3720240106020010,2024-01-07,伊東競輪,10,Ｓ級準決勝,0,1-7-5,7-3-1,5-3-7,3-7-1,11,1,5000,0,-5000
3720240106020011,2024-01-07,伊東競輪,11,Ｓ級準決勝,0,1,1-4,7-5-3,1-5-3,3,1,5000,0,-5000
3720240106020012,2024-01-07,伊東競輪,12,Ｓ級準決勝,0,4,4-3-1,7-5-3,4-3-1,5,1,5000,0,-5000
5620240107010006,2024-01-07,岸和田競輪,6,Ｓ級予選,0,7-1,7-1-4,5-1-4,7-1-5,7,1,5000,11800,6800
5620240107010007,2024-01-07,岸和田競輪,7,Ｓ級予選,0,7-5,7-2-5,1-3-5,7-5-4,9,1,5000,0,-5000
5620240107010008,2024-01-07,岸和田競輪,8,Ｓ級予選,1,3-1,3-1-5,1-6-4,1-4-5,9,1,5000,0,-5000
5620240107010009,2024-01-07,岸和田競輪,9,Ｓ級予選,0,2-5,2-5-4,7-4-2,5-2-7,7,1,5000,12690,7690
5620240107010010,2024-01-07,岸和田競輪,10,Ｓ級予選,1,1-7,1-7-5,2-6-5,5-1-6,10,1,5000,0,-5000
5620240107010011,2024-01-07,岸和田競輪,11,Ｓ級予選,0,5,5-2,6-1-4,5-2-1,3,1,5000,10950,5950
5620240107010012,2024-01-07,岸和田競輪,12,Ｓ級初特選,1,1-2,1-2,7-4-5,1-2-5,6,1,5000,7150,2150
