race_id,race_date,track,race_no,participate,v9_eligible,first_structure_ok,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells,first_gap12,first_gap13,first_sd,line_strength_spread
2420240325010006,2024-03-25,宇都宮競輪,6,1,1,1,2-3-4,2-4,3-4-5,3,4,1,1,1,0,0,8,2.708360392098328,18.78561552778099,34.23447507792268,7.13666666666667
2420240325010007,2024-03-25,宇都宮競輪,7,1,1,1,2-3-5,1-3-5,2-5-6,7,4,6,0,0,1,0,9,6.911968830337287,13.406674976015822,32.577749204327155,11.520000000000024
2420240325010008,2024-03-25,宇都宮競輪,8,1,1,1,3-4-7,3-4-7,2-5-7,5,3,7,0,1,1,0,9,12.744961059022913,18.071508370740986,29.964074989290275,22.674999999999983
2420240325010009,2024-03-25,宇都宮競輪,9,1,1,1,2-3-7,3-7,3-4-6-7,3,4,7,1,0,1,0,9,5.709623455574757,31.14163281603132,37.636206885908436,19.601666666666674
2420240325010010,2024-03-25,宇都宮競輪,10,0,0,1,2-3-5,2-3-5,2-3-7,5,2,4,1,1,0,0,9,36.84851362908176,38.54055724970268,28.214076279839414,20.950000000000017
2420240325010011,2024-03-25,宇都宮競輪,11,1,1,1,1-2-5,1-2-4,4-5-7,5,1,4,1,1,1,1,9,8.583765791170777,54.71844459587347,35.34175068168531,25.830000000000013
2420240325010012,2024-03-25,宇都宮競輪,12,1,1,1,1-3-4,1-2,2-5-6-7,3,5,2,1,0,1,0,9,21.86370655227327,29.845337236993572,34.69646942178068,18.939999999999998
6120240325010008,2024-03-25,玉野競輪,8,1,1,1,2-3-4,1-2-7,3-4-5,7,2,5,0,1,1,0,9,7.95758411688179,14.843483721754367,36.49561942592181,4.585000000000008
6120240325010009,2024-03-25,玉野競輪,9,1,1,1,1-4-5,1-4-5,1-3-5-7,6,3,5,0,0,1,0,10,8.23164264170066,28.6544265006944,32.40643243847223,18.974999999999994
6120240325010010,2024-03-25,玉野競輪,10,1,1,1,2-4-7,1-2-7,1-2-5-7,7,2,5,1,1,1,1,10,11.783846894118838,23.150622195237176,33.25847195656583,19.668333333333322
