race_id,race_date,track,race_no,actual_1st,v11_top1,v11_hit,v11_actual_rank,v7_top1,v7_hit,v7_actual_rank,v11_top1_score,v7_top1_score
2420240401010006,2024-04-01,宇都宮競輪,6,3,7,0,2,1,0,3,100.0,100.0
2420240401010007,2024-04-01,宇都宮競輪,7,4,1,0,2,4,1,1,100.0,100.0
2420240401010008,2024-04-01,宇都宮競輪,8,6,4,0,7,4,0,7,100.0,100.0
2420240401010009,2024-04-01,宇都宮競輪,9,2,7,0,7,7,0,5,100.0,100.0
2420240401010010,2024-04-01,宇都宮競輪,10,1,1,1,1,1,1,1,100.0,100.0
2420240401010011,2024-04-01,宇都宮競輪,11,4,5,0,2,5,0,2,100.0,100.0
2420240401010012,2024-04-01,宇都宮競輪,12,6,1,0,7,1,0,7,100.0,100.0
8120240401010008,2024-04-01,小倉競輪,8,7,1,0,2,2,0,2,100.0,100.0
8120240401010009,2024-04-01,小倉競輪,9,5,1,0,2,1,0,2,100.0,100.0
8120240401010010,2024-04-01,小倉競輪,10,1,5,0,2,1,1,1,100.0,100.0
8120240401010011,2024-04-01,小倉競輪,11,7,7,1,1,7,1,1,100.0,100.0
8120240401010012,2024-04-01,小倉競輪,12,1,7,0,5,7,0,3,100.0,100.0
2420240401020006,2024-04-02,宇都宮競輪,6,5,3,0,4,3,0,3,100.0,100.0
2420240401020007,2024-04-02,宇都宮競輪,7,2,5,0,5,5,0,4,100.0,100.0
2420240401020008,2024-04-02,宇都宮競輪,8,5,2,0,3,2,0,5,100.0,100.0
2420240401020009,2024-04-02,宇都宮競輪,9,5,7,0,6,1,0,6,100.0,100.0
2420240401020010,2024-04-02,宇都宮競輪,10,6,3,0,6,3,0,5,100.0,100.0
2420240401020011,2024-04-02,宇都宮競輪,11,3,2,0,3,2,0,2,100.0,100.0
2420240401020012,2024-04-02,宇都宮競輪,12,2,1,0,4,1,0,4,100.0,100.0
8120240401020008,2024-04-02,小倉競輪,8,2,2,1,1,2,1,1,100.0,100.0
8120240401020009,2024-04-02,小倉競輪,9,2,2,1,1,2,1,1,100.0,100.0
8120240401020010,2024-04-02,小倉競輪,10,3,5,0,2,3,1,1,100.0,100.0
8120240401020011,2024-04-02,小倉競輪,11,1,1,1,1,1,1,1,100.0,100.0
8120240401020012,2024-04-02,小倉競輪,12,3,2,0,4,2,0,4,100.0,100.0
6120240402010008,2024-04-02,玉野競輪,8,1,1,1,1,1,1,1,100.0,100.0
6120240402010009,2024-04-02,玉野競輪,9,3,3,1,1,3,1,1,100.0,100.0
6120240402010010,2024-04-02,玉野競輪,10,7,4,0,4,4,0,3,100.0,100.0
6120240402010011,2024-04-02,玉野競輪,11,3,1,0,3,1,0,3,100.0,100.0
6120240402010012,2024-04-02,玉野競輪,12,3,7,0,4,7,0,3,100.0,100.0
2420240401030005,2024-04-03,宇都宮競輪,5,5,1,0,3,1,0,6,100.0,100.0
