race_id,race_date,track,race_no,actual_1st,v11_top1,v11_hit,v11_actual_rank,v12_top1,v12_hit,v12_actual_rank,winner_in_v11_top3
8520240408010006,2024-04-08,佐世保競輪,6,7,7,1,1,1,0,3,1
8520240408010007,2024-04-08,佐世保競輪,7,7,7,1,1,2,0,3,1
8520240408010008,2024-04-08,佐世保競輪,8,5,5,1,1,3,0,3,1
8520240408010009,2024-04-08,佐世保競輪,9,3,1,0,6,7,0,6,0
8520240408010010,2024-04-08,佐世保競輪,10,4,4,1,1,3,0,3,1
8520240408010011,2024-04-08,佐世保競輪,11,7,3,0,2,2,0,2,1
8520240408010012,2024-04-08,佐世保競輪,12,7,4,0,3,7,1,1,1
3620240408010006,2024-04-08,小田原競輪,6,2,7,0,5,4,0,5,0
3620240408010007,2024-04-08,小田原競輪,7,1,1,1,1,5,0,3,1
3620240408010008,2024-04-08,小田原競輪,8,2,7,0,2,5,0,2,1
3620240408010009,2024-04-08,小田原競輪,9,7,4,0,4,2,0,4,0
3620240408010010,2024-04-08,小田原競輪,10,1,1,1,1,7,0,3,1
3620240408010011,2024-04-08,小田原競輪,11,7,3,0,2,2,0,2,1
3620240408010012,2024-04-08,小田原競輪,12,3,4,0,4,7,0,4,0
2820240408010006,2024-04-08,立川競輪,6,4,2,0,3,4,1,1,1
2820240408010007,2024-04-08,立川競輪,7,5,5,1,1,4,0,3,1
2820240408010008,2024-04-08,立川競輪,8,3,7,0,3,3,1,1,1
2820240408010009,2024-04-08,立川競輪,9,5,5,1,1,7,0,3,1
2820240408010010,2024-04-08,立川競輪,10,7,2,0,3,7,1,1,1
2820240408010011,2024-04-08,立川競輪,11,3,3,1,1,2,0,3,1
2820240408010012,2024-04-08,立川競輪,12,1,5,0,2,3,0,2,1
8520240408020008,2024-04-09,佐世保競輪,8,4,1,0,3,4,1,1,1
8520240408020009,2024-04-09,佐世保競輪,9,1,7,0,6,5,0,6,0
8520240408020010,2024-04-09,佐世保競輪,10,1,1,1,1,7,0,3,1
8520240408020011,2024-04-09,佐世保競輪,11,3,1,0,5,5,0,5,0
8520240408020012,2024-04-09,佐世保競輪,12,1,7,0,2,2,0,2,1
3620240408020006,2024-04-09,小田原競輪,6,1,4,0,2,2,0,2,1
3620240408020007,2024-04-09,小田原競輪,7,4,1,0,6,7,0,6,0
3620240408020008,2024-04-09,小田原競輪,8,5,7,0,3,5,1,1,1
3620240408020009,2024-04-09,小田原競輪,9,1,1,1,1,5,0,3,1
3620240408020010,2024-04-09,小田原競輪,10,7,4,0,3,7,1,1,1
3620240408020011,2024-04-09,小田原競輪,11,5,5,1,1,2,0,3,1
3620240408020012,2024-04-09,小田原競輪,12,1,1,1,1,4,0,2,1
2820240408020007,2024-04-09,立川競輪,7,5,1,0,2,7,0,2,1
2820240408020008,2024-04-09,立川競輪,8,5,1,0,4,4,0,4,0
2820240408020009,2024-04-09,立川競輪,9,2,2,1,1,4,0,3,1
2820240408020010,2024-04-09,立川競輪,10,7,7,1,1,2,0,3,1
2820240408020011,2024-04-09,立川競輪,11,1,4,0,2,2,0,2,1
2820240408020012,2024-04-09,立川競輪,12,1,2,0,5,7,0,5,0
8520240408030008,2024-04-10,佐世保競輪,8,7,7,1,1,1,0,3,1
8520240408030009,2024-04-10,佐世保競輪,9,3,5,0,3,3,1,1,1
