race_id,race_date,track,race_no,actual_1st,v11_top1,v11_hit,v11_actual_rank,v14_top1,v14_hit,v14_source,rank2_challenge_score,rank3_challenge_score
8620240421020006,2024-04-22,別府競輪,6,2,5,0,5,5,0,leader,-0.7036599714542224,-1.1855915681990044
8620240421020007,2024-04-22,別府競輪,7,7,1,0,5,1,0,leader,-1.8342512667759128,-1.7589340074849231
8620240421020008,2024-04-22,別府競輪,8,7,7,1,1,7,1,leader,-0.5079959645612149,-0.7110546553969572
8620240421020009,2024-04-22,別府競輪,9,5,3,0,2,3,0,leader,-1.0604933539182253,-2.829184526138373
8620240421020010,2024-04-22,別府競輪,10,1,1,1,1,1,1,leader,-2.3975888567832135,-1.8135446424527275
8620240421020011,2024-04-22,別府競輪,11,5,4,0,2,4,0,leader,-0.8812144166642627,-1.6137875159328072
8620240421020012,2024-04-22,別府競輪,12,1,1,1,1,1,1,leader,-1.802084706478807,-3.3003641142086604
4320240420030006,2024-04-22,岐阜競輪,6,4,4,1,1,4,1,leader,-0.625653152663078,-1.4796590307258126
4320240420030007,2024-04-22,岐阜競輪,7,5,5,1,1,5,1,leader,-1.869571577310784,-3.1198609971764526
4320240420030008,2024-04-22,岐阜競輪,8,5,5,1,1,5,1,leader,-1.2552387902300268,-1.8232201073559557
4320240420030009,2024-04-22,岐阜競輪,9,4,1,0,4,1,0,leader,-0.4139730293797013,-0.6562585657455673
4320240420030012,2024-04-22,岐阜競輪,12,4,3,0,6,3,0,leader,-1.095823344581914,-1.5752146273176992
8620240421030005,2024-04-23,別府競輪,5,7,5,0,5,5,0,leader,-0.8820416209101528,-0.8466160350732055
8620240421030006,2024-04-23,別府競輪,6,1,5,0,2,5,0,leader,-0.5207203816416999,-1.531889518525083
8620240421030007,2024-04-23,別府競輪,7,5,3,0,2,3,0,leader,-0.8014558032633707,-2.191901679707617
8620240421030008,2024-04-23,別府競輪,8,1,7,0,3,7,0,leader,-0.2819692889375977,-0.8419751630381136
8620240421030009,2024-04-23,別府競輪,9,2,5,0,2,5,0,leader,-0.6698519561298434,-2.1779185459770325
8620240421030010,2024-04-23,別府競輪,10,4,1,0,4,1,0,leader,-1.9924768520499057,-2.800335443108386
8620240421030012,2024-04-23,別府競輪,12,1,7,0,4,7,0,leader,-1.3865947355606358,-2.6824388683520333
3520240423010006,2024-04-23,平塚競輪,6,3,3,1,1,3,1,leader,-0.5484836304895558,-1.6161167120046886
3520240423010007,2024-04-23,平塚競輪,7,1,4,0,4,4,0,leader,-0.3029652071441593,-1.35272547374957
3520240423010008,2024-04-23,平塚競輪,8,5,5,1,1,5,1,leader,-1.56256205836016,-1.6873910417593383
3520240423010009,2024-04-23,平塚競輪,9,3,5,0,4,5,0,leader,-1.3557320215714703,-1.3554271140159226
3520240423010010,2024-04-23,平塚競輪,10,3,7,0,2,7,0,leader,-1.5954669045727612,-2.331035270786593
3520240423010011,2024-04-23,平塚競輪,11,7,1,0,2,1,0,leader,-0.9260327217932433,-2.103444058863263
3520240423010012,2024-04-23,平塚競輪,12,3,1,0,3,1,0,leader,-0.546306412769056,-0.9839157058324273
3520240423020009,2024-04-24,平塚競輪,9,4,7,0,4,7,0,leader,-0.5768804075633343,-1.1761250252583426
3520240423020010,2024-04-24,平塚競輪,10,3,7,0,5,7,0,leader,-1.2542083638037558,-2.1321131666585695
3520240423020011,2024-04-24,平塚競輪,11,6,3,0,6,3,0,leader,-0.9573210699641261,-1.6780578006958091
3520240423020012,2024-04-24,平塚競輪,12,1,1,1,1,1,1,leader,-0.8684125966812903,-0.7723828004432947
5120240424010006,2024-04-24,福井競輪,6,3,5,0,5,5,0,leader,-0.6558286258140521,-2.0424621292138947
5120240424010007,2024-04-24,福井競輪,7,4,3,0,2,3,0,leader,-1.6516758429472131,-1.7753695310423618
5120240424010008,2024-04-24,福井競輪,8,2,5,0,2,5,0,leader,-0.26307838659316096,-1.8319968098557555
5120240424010009,2024-04-24,福井競輪,9,2,2,1,1,2,1,leader,-1.0881050490151976,-2.0323519981052005
5120240424010010,2024-04-24,福井競輪,10,3,7,0,4,7,0,leader,-1.1620304572836728,-1.9494959131615166
5120240424010011,2024-04-24,福井競輪,11,2,2,1,1,2,1,leader,-0.5301210598017865,-0.7622309776186909
5120240424010012,2024-04-24,福井競輪,12,1,4,0,6,4,0,leader,-0.7009376873316668,-2.051052522622362
7420240424010006,2024-04-24,高知競輪,6,2,1,0,2,1,0,leader,-0.4567520315464844,-0.8594035809562895
7420240424010007,2024-04-24,高知競輪,7,1,1,1,1,1,1,leader,-0.2073383978912799,-1.6173380824628412
7420240424010008,2024-04-24,高知競輪,8,1,5,0,2,5,0,leader,-0.9204833024383949,-1.9759396721228855
7420240424010009,2024-04-24,高知競輪,9,2,7,0,2,7,0,leader,-0.7735476737845611,-0.7345598409882237
7420240424010010,2024-04-24,高知競輪,10,2,1,0,6,1,0,leader,-2.2588497044576794,-1.9027318306838794
7420240424010011,2024-04-24,高知競輪,11,5,2,0,2,2,0,leader,-0.7330500211050347,-1.5224124916756783
7420240424010012,2024-04-24,高知競輪,12,3,5,0,2,5,0,leader,-0.28306396576408716,-0.9952917544780341
3520240423030007,2024-04-25,平塚競輪,7,5,2,0,6,2,0,leader,-1.721244043578821,-2.6302026583956337
3520240423030008,2024-04-25,平塚競輪,8,6,1,0,3,1,0,leader,-0.7236760158914364,-1.6476646388274458
3520240423030009,2024-04-25,平塚競輪,9,4,1,0,2,1,0,leader,-0.6868965942270937,-2.945971851917994
3520240423030010,2024-04-25,平塚競輪,10,2,4,0,4,4,0,leader,-1.400993751836597,-2.1987937415533354
3520240423030012,2024-04-25,平塚競輪,12,2,7,0,3,7,0,leader,-1.3017890788922255,-1.4301163785712365
5120240424020006,2024-04-25,福井競輪,6,7,3,0,3,3,0,leader,-0.717855081481358,-1.2473481585082284
5120240424020007,2024-04-25,福井競輪,7,2,2,1,1,2,1,leader,-1.4960474775676658,-1.725803315405043
5120240424020008,2024-04-25,福井競輪,8,4,6,0,4,6,0,leader,-0.9634629779685098,-1.5588338803606927
5120240424020009,2024-04-25,福井競輪,9,1,7,0,5,7,0,leader,-0.645455672983885,-1.3848816313726429
5120240424020010,2024-04-25,福井競輪,10,3,3,1,1,3,1,leader,-0.9325844016984064,-1.0356042850365577
5120240424020011,2024-04-25,福井競輪,11,3,5,0,2,3,1,rank2,0.04342755515550761,-1.1924442787671188
5120240424020012,2024-04-25,福井競輪,12,3,5,0,2,3,1,rank2,0.19437703754361246,-0.8634541983682036
7420240424020006,2024-04-25,高知競輪,6,3,7,0,3,7,0,leader,-0.46510416738186,-1.4704560394589614
7420240424020007,2024-04-25,高知競輪,7,4,2,0,2,2,0,leader,-0.6545409648283878,-1.7330391009172144
7420240424020008,2024-04-25,高知競輪,8,4,2,0,2,2,0,leader,-1.0367054714512633,-1.3785657532076852
7420240424020009,2024-04-25,高知競輪,9,1,2,0,2,2,0,leader,-0.1696794882938908,-1.7889099104134039
7420240424020010,2024-04-25,高知競輪,10,1,3,0,6,3,0,leader,-1.0915481513813996,-1.8281417593974425
7420240424020011,2024-04-25,高知競輪,11,6,2,0,7,5,0,rank2,0.07374151007866897,-1.356125652019667
7420240424020012,2024-04-25,高知競輪,12,4,5,0,3,5,0,leader,-0.5676659645914954,-0.7286693336716332
