race_id,race_date,track,race_no,actual_1st,v15_top1,v15_top1_hit,v15_first_candidates,v15_candidate_count,v15_candidate_hit,v15_top1_prob,v15_top2_prob,v15_prob_gap12,v11_top1,v11_top1_hit
2720240429010006,2024-04-29,京王閣競輪,6,2,1,0,1-7-2,3,1,0.47807101410303654,0.17699078655637854,0.301080227546658,1,0
2720240429010007,2024-04-29,京王閣競輪,7,4,4,1,4-1-2,3,1,0.343872081284947,0.22801869977811567,0.11585338150683133,1,0
2720240429010008,2024-04-29,京王閣競輪,8,7,5,0,5-7,2,1,0.5475295974047296,0.1893322955319906,0.358197301872739,7,1
2720240429010009,2024-04-29,京王閣競輪,9,2,3,0,3-2-7,3,1,0.5195375962880845,0.13589505893230555,0.3836425373557789,3,0
2720240429010010,2024-04-29,京王閣競輪,10,3,7,0,7-5-3,3,1,0.3394752129391176,0.2570967830344314,0.08237842990468619,7,0
2720240429010011,2024-04-29,京王閣競輪,11,1,1,1,1-4-2,3,1,0.49841407285922995,0.17649429012360954,0.3219197827356204,1,1
2720240429010012,2024-04-29,京王閣競輪,12,3,2,0,2-4-5,3,0,0.4929796195249913,0.14659168932170397,0.34638793020328734,2,0
4620240427030005,2024-04-29,富山競輪,5,1,5,0,5-7-2,3,0,0.37826888793691593,0.21865393306651065,0.15961495487040528,5,0
4620240427030006,2024-04-29,富山競輪,6,1,1,1,1-7-3,3,1,0.4081962759080729,0.2201704161521008,0.18802585975597208,7,0
4620240427030007,2024-04-29,富山競輪,7,4,4,1,4-7-5,3,1,0.49877649281022474,0.1406335468560549,0.35814294595416984,4,1
4620240427030008,2024-04-29,富山競輪,8,1,1,1,1-7-3,3,1,0.2631141305818235,0.24365457855464343,0.019459552027180055,3,0
4620240427030009,2024-04-29,富山競輪,9,1,1,1,1-7-2,3,1,0.4232504159527612,0.22338099923496202,0.19986941671779918,7,0
4620240427030010,2024-04-29,富山競輪,10,5,7,0,7-5-4,3,1,0.3394836674976021,0.33172219259439284,0.007761474903209276,5,1
4620240427030012,2024-04-29,富山競輪,12,4,3,0,3-4-7,3,1,0.38103862093776747,0.2096432285797027,0.17139539235806478,3,0
2720240429020008,2024-04-30,京王閣競輪,8,2,1,0,1-2-5,3,1,0.3382951254244959,0.226097785193278,0.11219734023121791,1,0
2720240429020009,2024-04-30,京王閣競輪,9,5,2,0,2-5,2,1,0.6911691121548983,0.08710884770613873,0.6040602644487596,2,0
2720240429020010,2024-04-30,京王閣競輪,10,7,2,0,2-1-4,3,0,0.49665128844504547,0.15099090662454806,0.3456603818204974,4,0
2720240429020011,2024-04-30,京王閣競輪,11,1,2,0,2-1-4,3,1,0.48777178992821496,0.15889569473755064,0.3288760951906643,1,1
2720240429020012,2024-04-30,京王閣競輪,12,4,2,0,2-3-7,3,0,0.3430367911514342,0.24166754507544397,0.10136924607599024,2,0
4820240430010006,2024-04-30,四日市競輪,6,1,2,0,2-1-5,3,1,0.4146969424251759,0.17248400386953952,0.2422129385556364,2,0
4820240430010007,2024-04-30,四日市競輪,7,3,3,1,3-7-2,3,1,0.5158507101499075,0.18236918420500528,0.3334815259449022,3,1
4820240430010008,2024-04-30,四日市競輪,8,3,4,0,4-1-2,3,0,0.4213506504934857,0.19022106703484756,0.23112958345863813,4,0
4820240430010009,2024-04-30,四日市競輪,9,1,7,0,7-1-3,3,1,0.3693211844529299,0.2901192436972532,0.07920194075567666,1,1
4820240430010010,2024-04-30,四日市競輪,10,1,2,0,2-7-1,3,1,0.3217565244663745,0.2467635231355531,0.07499300133082137,1,1
4820240430010011,2024-04-30,四日市競輪,11,3,3,1,3-5,2,1,0.43395382761504797,0.347583856170938,0.08636997144410996,5,0
4820240430010012,2024-04-30,四日市競輪,12,2,7,0,7-5-2,3,1,0.43489129236900015,0.1909046787287175,0.24398661364028265,7,0
2720240429030005,2024-05-01,京王閣競輪,5,2,3,0,3-7-2,3,1,0.2741358067420575,0.18774479457101348,0.08639101217104403,3,0
2720240429030006,2024-05-01,京王閣競輪,6,4,7,0,7-4-3,3,1,0.3481868353247336,0.3063721819016515,0.041814653423082104,4,1
2720240429030007,2024-05-01,京王閣競輪,7,1,3,0,3-5-7,3,0,0.23295229068122575,0.1918844698772855,0.04106782080394025,3,0
