race_id,race_date,track,race_no,race_type,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
3720240106030008,2024-01-08,伊東競輪,8,Ｓ級特選,3,2-3-4,1-5-6-7,1,7,2,0,0,0,0,8
3720240106030009,2024-01-08,伊東競輪,9,Ｓ級特選,1,1-3-5,2-3-4-6,1,3,2,1,1,1,1,8
3720240106030010,2024-01-08,伊東競輪,10,Ｓ級特選,1-4,1-2-7,2-3-5-7,4,1,3,1,1,1,1,9
3720240106030012,2024-01-08,伊東競輪,12,Ｓ級決勝,1-4,1-2-3,1-2-7,1,2,4,1,1,0,0,8
5620240107020006,2024-01-08,岸和田競輪,6,Ｓ級一般,2,1-2-4,1-4-7,4,6,7,0,0,1,0,7
5620240107020007,2024-01-08,岸和田競輪,7,Ｓ級一般,1,1-2-5,2-3-4-7,1,3,7,1,0,1,0,8
5620240107020008,2024-01-08,岸和田競輪,8,Ｓ級選抜,3-5,1-2-3,3-4-7,7,3,2,0,1,0,0,8
5620240107020009,2024-01-08,岸和田競輪,9,Ｓ級選抜,2,2-7,3-5-7,6,4,5,0,0,1,0,6
5620240107020010,2024-01-08,岸和田競輪,10,Ｓ級準決勝,1,1-2-3,3-4-5-7,1,7,4,1,0,1,0,8
5620240107020011,2024-01-08,岸和田競輪,11,Ｓ級準決勝,3-5,1-3-5,1-2-5-7,5,3,2,1,1,1,1,9
5620240107020012,2024-01-08,岸和田競輪,12,Ｓ級準決勝,1-2,1-4-5,3-5-6-7,1,7,3,1,0,1,0,9
7520240108010008,2024-01-08,松山競輪,8,Ｓ級予選,7,1-3-7,3-4-5,1,5,6,0,0,0,0,7
7520240108010009,2024-01-08,松山競輪,9,Ｓ級予選,1,2-4,3-4-5-7,2,1,3,0,0,1,0,7
7520240108010010,2024-01-08,松山競輪,10,Ｓ級予選,1-6,1-3,1-4-5,5,4,6,0,0,0,0,7
7520240108010011,2024-01-08,松山競輪,11,Ｓ級予選,3,1-3-5,1-3-4-7,5,3,7,0,1,1,0,8
7520240108010012,2024-01-08,松山競輪,12,Ｓ級初日特選,2,1-2-5,1-3-7,3,5,2,0,1,0,0,7
5620240107030005,2024-01-09,岸和田競輪,5,Ｓ級一般,2-4,2-3-4,1-4-5,2,7,3,1,0,0,0,8
5620240107030006,2024-01-09,岸和田競輪,6,Ｓ級一般,1,1-4-5,5-6-7,1,6,4,1,0,0,0,7
5620240107030007,2024-01-09,岸和田競輪,7,Ｓ級一般,1,1-2-3,3-4-5-7,3,1,7,0,1,1,0,8
5620240107030009,2024-01-09,岸和田競輪,9,Ｓ級特選,5,3-4-5,1-3-7,2,6,4,0,0,0,0,7
5620240107030010,2024-01-09,岸和田競輪,10,Ｓ級特選,5,2-4-5,2-4-6-7,1,6,4,0,0,1,0,8
5620240107030011,2024-01-09,岸和田競輪,11,Ｓ級特選,2-7,1-4-5,3-5-7,5,1,4,0,1,0,0,8
5620240107030012,2024-01-09,岸和田競輪,12,Ｓ級決勝,3-4,1-2-3,2-6-7,3,4,2,1,0,1,0,8
7520240108020010,2024-01-09,松山競輪,10,Ｓ級準決勝,1-2,1-2-7,3-4-6,5,1,2,0,1,0,0,8
7520240108020011,2024-01-09,松山競輪,11,Ｓ級準決勝,1,1-4-5,3-4-7,1,5,2,1,1,0,0,7
7520240108020012,2024-01-09,松山競輪,12,Ｓ級準決勝,1-5,3-5,2-4-6-7,5,1,3,1,0,0,0,8
3620240110010006,2024-01-10,小田原競輪,6,Ｓ級予選,2-5,2-3-5,3-4-5-7,7,4,3,0,0,1,0,9
3620240110010007,2024-01-10,小田原競輪,7,Ｓ級予選,1-4,1-4-5,1-2-5-7,2,7,4,0,0,0,0,9
3620240110010008,2024-01-10,小田原競輪,8,Ｓ級予選,2-5,1-4-7,1-3-6,2,5,6,1,0,1,0,8
3620240110010009,2024-01-10,小田原競輪,9,Ｓ級予選,5,2-3-5,3-6-7,5,4,7,1,0,1,0,7
3620240110010010,2024-01-10,小田原競輪,10,Ｓ級予選,1-3,1-4,3-5-7,1,7,2,1,0,0,0,7
3620240110010011,2024-01-10,小田原競輪,11,Ｓ級予選,4-7,4-5-7,1-2-6,5,4,1,0,1,1,0,8
3620240110010012,2024-01-10,小田原競輪,12,Ｓ級初特選,2-6,1-2-4,1-2-4-5,1,4,3,0,1,0,0,9
7520240108030008,2024-01-10,松山競輪,8,Ｓ級特選,2-7,2-5,1-4-5,2,5,3,1,1,0,0,7
7520240108030009,2024-01-10,松山競輪,9,Ｓ級特選,4,2-5,1-2-5-7,4,2,6,1,1,0,0,7
7520240108030012,2024-01-10,松山競輪,12,Ｓ級決勝,3,3-4-5,1-2-5-7,3,4,1,1,1,1,1,8
4820240111010008,2024-01-11,四日市競輪,8,Ｓ級予選,2,1-2-7,1-3-4-5,6,2,4,0,1,1,0,8
4820240111010009,2024-01-11,四日市競輪,9,Ｓ級予選,1-2,2-4-5,1-3-5-7,2,7,4,1,0,0,0,9
4820240111010010,2024-01-11,四日市競輪,10,Ｓ級予選,7,2-5-7,1-3-5,5,3,2,0,0,0,0,7
4820240111010011,2024-01-11,四日市競輪,11,Ｓ級予選,4,1-4,1-2-3-5,5,2,6,0,0,0,0,7
4820240111010012,2024-01-11,四日市競輪,12,Ｓ級初日特選,1-3,1-3,2-5-7,4,6,3,0,0,0,0,7
3620240110020008,2024-01-11,小田原競輪,8,Ｓ級選抜,2-7,3-7,3-4-6,4,7,3,0,1,1,0,7
3620240110020009,2024-01-11,小田原競輪,9,Ｓ級選抜,1,1-3,4-5-7,2,6,1,0,0,0,0,6
3620240110020010,2024-01-11,小田原競輪,10,Ｓ級準決勝,3,1-3-4,2-5-6,2,3,6,0,1,1,0,7
3620240110020011,2024-01-11,小田原競輪,11,Ｓ級準決勝,1-7,1-2-7,1-2-4,2,4,7,0,0,0,0,8
3620240110020012,2024-01-11,小田原競輪,12,Ｓ級準決勝,5,2-3-5,2-3-4-7,4,3,5,0,1,0,0,8
4820240111020008,2024-01-12,四日市競輪,8,Ｓ級一般,5,2-3-5,1-2-4-7,7,4,5,0,0,0,0,8
4820240111020009,2024-01-12,四日市競輪,9,Ｓ級一般,5,3-4-5,2-4-6-7,5,2,1,1,0,0,0,8
4820240111020010,2024-01-12,四日市競輪,10,Ｓ級準決勝,2-5,2-5,1-5-6-7,2,5,3,1,1,0,0,8
4820240111020011,2024-01-12,四日市競輪,11,Ｓ級準決勝,2-7,2-4-7,3-4-7,2,5,7,1,0,1,0,8
4820240111020012,2024-01-12,四日市競輪,12,Ｓ級準決勝,1,1-5,3-5-6-7,4,1,7,0,1,1,0,7
3620240110030007,2024-01-12,小田原競輪,7,Ｓ級一般,1-7,1-2-7,1-2-4-5,2,4,3,0,0,0,0,9
3620240110030008,2024-01-12,小田原競輪,8,Ｓ級特選,3,3-4-5,1-2-5-7,3,5,7,1,1,1,1,8
3620240110030009,2024-01-12,小田原競輪,9,Ｓ級特選,3-6,1-3,3-5-6-7,6,4,7,1,0,1,0,8
3620240110030010,2024-01-12,小田原競輪,10,Ｓ級特選,2,2-3-4,1-3-5-6,2,5,1,1,0,1,0,8
3620240110030012,2024-01-12,小田原競輪,12,Ｓ級決勝,1,1-4,2-5-7,4,3,7,0,0,1,0,6
4820240111030006,2024-01-13,四日市競輪,6,Ｓ級一般,2-5,2-4-5,1-3-6-7,3,6,1,0,0,1,0,9
4820240111030007,2024-01-13,四日市競輪,7,Ｓ級一般,2-3,3-4-7,3-5-6-7,5,2,6,0,0,1,0,9
4820240111030008,2024-01-13,四日市競輪,8,Ｓ級特選,2-6,1-2-4,1-2-5-7,6,2,4,1,1,0,0,9
4820240111030009,2024-01-13,四日市競輪,9,Ｓ級特選,2-3,2-3-7,5-6-7,4,7,6,0,1,1,0,8
4820240111030012,2024-01-13,四日市競輪,12,Ｓ級決勝,5,2-4-5,2-3-7,6,3,5,0,0,0,0,7
8120240113010006,2024-01-13,小倉競輪,6,Ｓ級予選,2,1-2-3,3-4-5-7,5,6,1,0,0,0,0,8
8120240113010007,2024-01-13,小倉競輪,7,Ｓ級予選,7,2-4,3-4-5-6,3,6,5,0,0,1,0,7
8120240113010008,2024-01-13,小倉競輪,8,Ｓ級予選,7,3-5-7,1-2-4-6,7,1,3,1,0,0,0,8
8120240113010009,2024-01-13,小倉競輪,9,Ｓ級予選,1-4,1-4-5,2-3-4-7,4,1,6,1,1,0,0,9
8120240113010010,2024-01-13,小倉競輪,10,Ｓ級予選,5,3-4-5,2-3-4-6,5,3,4,1,1,1,1,8
8120240113010011,2024-01-13,小倉競輪,11,Ｓ級予選,7,2-5-7,2-3-4-5,7,5,1,1,1,0,0,8
8120240113010012,2024-01-13,小倉競輪,12,Ｓ級初特選,2-5,1-5,1-3-5-7,7,1,4,0,1,0,0,8
8120240113020007,2024-01-14,小倉競輪,7,Ｓ級一般,5,3-5,1-2-3-4,5,3,4,1,1,1,1,7
8120240113020008,2024-01-14,小倉競輪,8,Ｓ級選抜,1-5,1-3-4,3-4-6-7,5,6,3,1,0,1,0,9
8120240113020009,2024-01-14,小倉競輪,9,Ｓ級選抜,1,1-2-3,4-5-6-7,3,5,6,0,0,1,0,8
8120240113020010,2024-01-14,小倉競輪,10,Ｓ級準決勝,1-2,1-2-4,4-5-7,2,7,5,1,0,1,0,8
