race_id,race_date,track,race_no,race_type,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
8120240113030008,2024-01-15,小倉競輪,8,Ｓ級特選,5,1-5-6,2-3-4-7,5,7,3,1,0,1,0,8
8120240113030009,2024-01-15,小倉競輪,9,Ｓ級特選,3,1-2-4,2-6-7,3,4,2,1,1,1,1,7
8120240113030010,2024-01-15,小倉競輪,10,Ｓ級特選,3,2-3-6,2-5-6-7,2,1,4,0,0,0,0,8
8120240113030012,2024-01-15,小倉競輪,12,Ｓ級決勝,5-7,2-4-7,1-3-6,3,4,7,0,1,0,0,8
7120240114020006,2024-01-15,高松競輪,6,Ｓ級一般,7,1-5-7,2-5-6,3,1,5,0,1,1,0,7
7120240114020007,2024-01-15,高松競輪,7,Ｓ級一般,1-4,3-4,1-2-6-7,1,4,2,1,1,1,1,8
7120240114020008,2024-01-15,高松競輪,8,Ｓ級選抜,6,2-6,2-3-4-5,7,1,5,0,0,1,0,7
7120240114020009,2024-01-15,高松競輪,9,Ｓ級選抜,7,2-4-7,2-5-6,2,7,4,0,1,0,0,7
7120240114020010,2024-01-15,高松競輪,10,Ｓ級準決勝,2,1-2-6,3-4-6,3,7,1,0,0,0,0,7
7120240114020011,2024-01-15,高松競輪,11,Ｓ級準決勝,1,4-6-7,4-5-6-7,4,5,1,0,0,0,0,8
7120240114020012,2024-01-15,高松競輪,12,Ｓ級準決勝,1-5,1-2-6,3-4-6,1,5,2,1,0,0,0,8
1320240116010006,2024-01-16,いわき平競輪,6,Ｓ級予選,4,4-5-6,2-5-6-7,4,1,5,1,0,1,0,8
1320240116010007,2024-01-16,いわき平競輪,7,Ｓ級予選,1,5-7,3-5-6-7,1,4,3,1,0,1,0,7
1320240116010008,2024-01-16,いわき平競輪,8,Ｓ級予選,1-5,5-7,3-4-7,1,6,5,1,0,0,0,7
1320240116010009,2024-01-16,いわき平競輪,9,Ｓ級予選,6,1-6-7,1-3-5-7,3,7,1,0,1,1,0,8
1320240116010010,2024-01-16,いわき平競輪,10,Ｓ級予選,2-3,2-7,3-5-6-7,2,4,6,1,0,1,0,8
1320240116010011,2024-01-16,いわき平競輪,11,Ｓ級予選,1-7,3-4-7,1-3-5-6,7,1,3,1,0,1,0,9
1320240116010012,2024-01-16,いわき平競輪,12,Ｓ級初特選,5,2-7,2-6-7,2,5,1,0,0,0,0,6
7120240114030005,2024-01-16,高松競輪,5,Ｓ級一般,5,5-6-7,2-3-4-7,7,1,5,0,0,0,0,8
7120240114030006,2024-01-16,高松競輪,6,Ｓ級一般,1,2-4-7,4-5-6-7,2,7,1,0,1,0,0,8
7120240114030007,2024-01-16,高松競輪,7,Ｓ級一般,5,1-4-5,2-6-7,2,6,5,0,0,0,0,7
7120240114030008,2024-01-16,高松競輪,8,Ｓ級特選,5,4-5-7,3-6-7,5,1,3,1,0,1,0,7
7120240114030009,2024-01-16,高松競輪,9,Ｓ級特選,4,3-4,1-2-3-7,4,1,5,1,0,0,0,7
7120240114030010,2024-01-16,高松競輪,10,Ｓ級特選,1,4-6-7,2-6-7,2,5,3,0,0,0,0,7
7120240114030012,2024-01-16,高松競輪,12,Ｓ級決勝,2-5,1-5,3-4-6-7,5,2,1,1,0,0,0,8
1320240116020008,2024-01-17,いわき平競輪,8,Ｓ級選抜,1-4,1-4,2-5-7,5,7,6,0,0,0,0,7
1320240116020009,2024-01-17,いわき平競輪,9,Ｓ級選抜,2-4,2-4-7,3-5-6-7,4,2,3,1,1,1,1,9
1320240116020010,2024-01-17,いわき平競輪,10,Ｓ級準決勝,2-6,2-4-6,3-5-7,3,1,4,0,0,0,0,8
1320240116020011,2024-01-17,いわき平競輪,11,Ｓ級準決勝,7,3-6,1-4-5-6,1,7,3,0,0,0,0,7
1320240116020012,2024-01-17,いわき平競輪,12,Ｓ級準決勝,3-7,1-3-7,1-2-4-6,7,1,3,1,1,0,0,9
2820240117010008,2024-01-17,立川競輪,8,Ｓ級予選,5-6,5-6-7,1-3-4-7,3,1,4,0,0,1,0,9
2820240117010009,2024-01-17,立川競輪,9,Ｓ級予選,3-4,4-7,1-2-5-7,7,6,1,0,0,1,0,8
2820240117010010,2024-01-17,立川競輪,10,Ｓ級予選,1-6,1-2-7,2-4-5-7,3,6,5,0,0,1,0,9
2820240117010011,2024-01-17,立川競輪,11,Ｓ級予選,5-7,1-5-7,4-6-7,7,1,6,1,1,1,1,8
2820240117010012,2024-01-17,立川競輪,12,Ｓ級初日特選,1-7,1-5-7,2-4-6,7,4,2,1,0,1,0,8
1320240116030007,2024-01-18,いわき平競輪,7,Ｓ級一般,1-5,1-6-7,2-3-4-6,1,5,7,1,0,0,0,9
1320240116030008,2024-01-18,いわき平競輪,8,Ｓ級特選,4,3-4-6,2-3-5-6,7,2,6,0,0,1,0,8
1320240116030009,2024-01-18,いわき平競輪,9,Ｓ級特選,1-5,1-5-6,1-3-5-6,1,2,4,1,0,0,0,9
1320240116030010,2024-01-18,いわき平競輪,10,Ｓ級特選,1-5,1-5-6,2-3-4-6,3,5,4,0,1,1,0,9
1320240116030012,2024-01-18,いわき平競輪,12,Ｓ級決勝,2-3,1-2-5,3-4-5-7,5,4,2,0,0,0,0,9
8520240118010006,2024-01-18,佐世保競輪,6,Ｓ級予選,3-7,1-5-7,2-4-6-7,1,3,7,0,0,1,0,9
8520240118010007,2024-01-18,佐世保競輪,7,Ｓ級予選,5,4-5,2-3-4,7,5,4,0,1,1,0,6
8520240118010008,2024-01-18,佐世保競輪,8,Ｓ級予選,1-7,1-3-5,2-3-5,7,1,3,1,1,1,1,8
8520240118010009,2024-01-18,佐世保競輪,9,Ｓ級予選,1,1-4-5,2-4-5,1,5,7,1,1,0,0,7
8520240118010010,2024-01-18,佐世保競輪,10,Ｓ級予選,1-3,1-7,2-4-6-7,3,5,7,1,0,1,0,8
8520240118010011,2024-01-18,佐世保競輪,11,Ｓ級予選,4-5,5-6,1-2-3-6,5,1,7,1,0,0,0,8
8520240118010012,2024-01-18,佐世保競輪,12,Ｓ級初特選,1-7,1-3-5,2-4-5,1,5,2,1,1,1,1,8
2820240117020008,2024-01-18,立川競輪,8,Ｓ級一般,2,1-4-7,3-4-5,2,4,7,1,1,0,0,7
2820240117020009,2024-01-18,立川競輪,9,Ｓ級一般,3,4-6,2-3-5-7,2,1,5,0,0,1,0,7
2820240117020010,2024-01-18,立川競輪,10,Ｓ級準決勝,5-6,2-7,1-2-3-4,2,1,7,0,0,0,0,8
2820240117020011,2024-01-18,立川競輪,11,Ｓ級準決勝,4,4-7,2-5-6-7,4,1,7,1,0,1,0,7
2820240117020012,2024-01-18,立川競輪,12,Ｓ級準決勝,5,4-5,2-3-6-7,4,7,5,0,0,0,0,7
8520240118020006,2024-01-19,佐世保競輪,6,Ｓ級一般,1-3,1-3-7,4-5-6-7,3,7,2,1,1,0,0,9
8520240118020007,2024-01-19,佐世保競輪,7,Ｓ級一般,6,2-7,1-2-3-7,4,6,7,0,0,1,0,7
8520240118020008,2024-01-19,佐世保競輪,8,Ｓ級選抜,6,2-3-6,3-5-7,6,1,2,1,0,0,0,7
8520240118020009,2024-01-19,佐世保競輪,9,Ｓ級選抜,1-2,1-5-7,3-5-6-7,5,1,7,0,1,1,0,9
8520240118020010,2024-01-19,佐世保競輪,10,Ｓ級準決勝,4-5,1-4-5,1-6-7,5,3,6,1,0,1,0,8
8520240118020011,2024-01-19,佐世保競輪,11,Ｓ級準決勝,2,2-5-7,1-3-5-7,4,1,7,0,0,1,0,8
8520240118020012,2024-01-19,佐世保競輪,12,Ｓ級準決勝,2,2-4-5,3-4-5,1,7,5,0,0,1,0,7
2820240117030006,2024-01-19,立川競輪,6,Ｓ級一般,1-6,1-4,1-2-3,3,5,6,0,0,0,0,7
2820240117030007,2024-01-19,立川競輪,7,Ｓ級一般,1-4,2-5-6,2-3-6-7,2,7,6,0,0,1,0,9
2820240117030010,2024-01-19,立川競輪,10,Ｓ級特選,4,5-7,1-2-6-7,4,3,7,1,0,1,0,7
2820240117030011,2024-01-19,立川競輪,11,Ｓ級特選,7,5-7,3-4-5-6,5,7,6,0,1,1,0,7
2820240117030012,2024-01-19,立川競輪,12,Ｓ級決勝,2,2-4-7,3-4-6-7,2,4,5,1,1,0,0,8
8520240118030005,2024-01-20,佐世保競輪,5,Ｓ級一般,2-3,2-3-4,2-4-5-6,3,2,5,1,1,1,1,9
8520240118030006,2024-01-20,佐世保競輪,6,Ｓ級一般,1-2,2-6-7,3-4-5-7,4,6,2,0,1,0,0,9
8520240118030007,2024-01-20,佐世保競輪,7,Ｓ級一般,4-6,4-5-7,2-3-4-7,4,5,2,1,1,1,1,9
8520240118030008,2024-01-20,佐世保競輪,8,Ｓ級特選,1,1-2-3,1-3-4-6,1,7,3,1,0,1,0,8
8520240118030009,2024-01-20,佐世保競輪,9,Ｓ級特選,3,1-3-5,4-5-7,3,2,4,1,0,1,0,7
8520240118030010,2024-01-20,佐世保競輪,10,Ｓ級特選,1,1-2,2-5-6,7,4,2,0,0,1,0,6
8520240118030012,2024-01-20,佐世保競輪,12,Ｓ級決勝,3,1-2-7,1-4-5-7,1,3,5,0,0,1,0,8
4220240121010008,2024-01-21,名古屋競輪,8,Ｓ級予選,2,2-7,1-5-7,2,3,5,1,0,1,0,6
4220240121010009,2024-01-21,名古屋競輪,9,Ｓ級予選,1,1-2-6,2-3-5,7,3,1,0,0,0,0,7
4220240121010010,2024-01-21,名古屋競輪,10,Ｓ級予選,3,3-5-7,2-4-5-7,3,7,5,1,1,1,1,8
4220240121010011,2024-01-21,名古屋競輪,11,Ｓ級予選,4,3-4-6,2-3-6,1,4,7,0,1,0,0,7
4220240121010012,2024-01-21,名古屋競輪,12,Ｓ級初日特選,3,1-7,2-6-7,4,3,6,0,0,1,0,6
8120240121010006,2024-01-21,小倉競輪,6,Ｓ級予選,4-7,1-2-4,1-3-5-6,2,1,4,0,1,0,0,9
8120240121010008,2024-01-21,小倉競輪,8,Ｓ級予選,2-4,2-6,1-3-6-7,2,3,4,1,0,0,0,8
8120240121010009,2024-01-21,小倉競輪,9,Ｓ級予選,5,3-5-6,2-3-4-6,5,3,1,1,1,0,0,8
