race_id,race_date,track,race_no,race_type,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
4220240121020008,2024-01-22,名古屋競輪,8,Ｓ級一般,2-3,5-7,1-2-7,6,5,2,0,1,1,0,7
4220240121020009,2024-01-22,名古屋競輪,9,Ｓ級一般,1,1-2,3-5-6,1,7,5,1,0,1,0,6
4220240121020010,2024-01-22,名古屋競輪,10,Ｓ級準決勝,1,1-5,2-3-4-7,1,5,7,1,1,1,1,7
4220240121020011,2024-01-22,名古屋競輪,11,Ｓ級準決勝,2-3,2-3-5,1-2-3,2,7,1,1,0,1,0,8
4220240121020012,2024-01-22,名古屋競輪,12,Ｓ級準決勝,7,3-6-7,2-3-5-6,7,3,4,1,1,0,0,8
2420240122010006,2024-01-22,宇都宮競輪,6,Ｓ級予選,1,1-4-6,1-2-3-4,2,7,1,0,0,1,0,8
2420240122010007,2024-01-22,宇都宮競輪,7,Ｓ級予選,3-4,2-4-5,1-5-6-7,4,3,6,1,0,1,0,9
2420240122010008,2024-01-22,宇都宮競輪,8,Ｓ級予選,1,1-3-5,3-5-6-7,1,4,6,1,0,1,0,8
2420240122010009,2024-01-22,宇都宮競輪,9,Ｓ級予選,4-5,2-3,3-5-6,2,4,3,0,0,1,0,7
2420240122010010,2024-01-22,宇都宮競輪,10,Ｓ級予選,7,5-7,3-4-6,3,4,7,0,0,0,0,6
2420240122010011,2024-01-22,宇都宮競輪,11,Ｓ級予選,1-5,1-5,3-4-5-7,5,1,7,1,1,1,1,8
2420240122010012,2024-01-22,宇都宮競輪,12,Ｓ級初特選,1,1-3-7,2-5-6,6,4,2,0,0,1,0,7
8120240121020006,2024-01-22,小倉競輪,6,Ｓ級一般,1-4,1-7,1-2-5-7,7,4,2,0,0,1,0,8
8120240121020007,2024-01-22,小倉競輪,7,Ｓ級一般,3,2-3-4,1-5-6-7,5,1,3,0,0,0,0,8
8120240121020008,2024-01-22,小倉競輪,8,Ｓ級選抜,5,2-7,1-5-7,5,7,3,1,1,0,0,6
8120240121020009,2024-01-22,小倉競輪,9,Ｓ級選抜,1-5,1-5,3-5-6-7,7,1,3,0,1,1,0,8
8120240121020010,2024-01-22,小倉競輪,10,Ｓ級準決勝,1-3,1-3-7,3-5-6-7,7,5,1,0,0,0,0,9
8120240121020011,2024-01-22,小倉競輪,11,Ｓ級準決勝,1-3,3-5,1-6-7,1,3,5,1,1,0,0,7
8120240121020012,2024-01-22,小倉競輪,12,Ｓ級準決勝,1,1-2-3,1-3-5-6,1,5,2,1,0,0,0,8
4220240121030006,2024-01-23,名古屋競輪,6,Ｓ級一般,1-5,3-5-7,1-3-6-7,5,1,2,1,0,0,0,9
4220240121030007,2024-01-23,名古屋競輪,7,Ｓ級一般,3,4-5-7,1-4-5,5,7,1,0,1,1,0,7
4220240121030008,2024-01-23,名古屋競輪,8,Ｓ級特選,1-2,2-7,1-3-5-7,1,4,5,1,0,1,0,8
4220240121030009,2024-01-23,名古屋競輪,9,Ｓ級特選,2-4,2-3-4,3-4-7,2,1,5,1,0,0,0,8
4220240121030012,2024-01-23,名古屋競輪,12,Ｓ級決勝,4,4-7,1-2-3-6,7,5,2,0,0,1,0,7
2420240122020006,2024-01-23,宇都宮競輪,6,Ｓ級一般,1-4,1-2-5,1-5-6-7,7,3,5,0,0,1,0,9
2420240122020007,2024-01-23,宇都宮競輪,7,Ｓ級一般,5,2-5-7,1-2-3-4,7,3,1,0,0,1,0,8
2420240122020008,2024-01-23,宇都宮競輪,8,Ｓ級選抜,1-2,1-7,1-3-7,1,7,3,1,1,1,1,7
2420240122020009,2024-01-23,宇都宮競輪,9,Ｓ級選抜,1-3,3-4-7,1-5-7,3,5,2,1,0,0,0,8
2420240122020011,2024-01-23,宇都宮競輪,11,Ｓ級準決勝,1-6,3-7,1-2-3-5,2,5,3,0,0,1,0,8
2420240122020012,2024-01-23,宇都宮競輪,12,Ｓ級準決勝,1-3,1-3-7,2-3-6-7,1,6,5,1,0,0,0,9
8120240121030005,2024-01-23,小倉競輪,5,Ｓ級一般,4,4-7,1-3-6,5,1,3,0,0,1,0,6
8120240121030006,2024-01-23,小倉競輪,6,Ｓ級一般,7,4-7,2-3-4-5,7,4,3,1,1,1,1,7
8120240121030007,2024-01-23,小倉競輪,7,Ｓ級一般,6-7,3-6-7,3-4-5-7,7,1,4,1,0,1,0,9
8120240121030008,2024-01-23,小倉競輪,8,Ｓ級特選,7,2-7,1-2-3-5,1,5,7,0,0,0,0,7
8120240121030009,2024-01-23,小倉競輪,9,Ｓ級特選,7,3-5-7,2-3-5-6,1,5,3,0,1,1,0,8
8120240121030010,2024-01-23,小倉競輪,10,Ｓ級特選,2,1-2-4,1-3-5-7,1,5,6,0,0,0,0,8
8120240121030012,2024-01-23,小倉競輪,12,Ｓ級決勝,1-5,4-5,1-2-5,5,6,2,1,0,1,0,7
3120240123010006,2024-01-23,松戸競輪,6,Ｓ級予選,1-5,4-5,1-3-4,4,7,1,0,0,1,0,7
3120240123010007,2024-01-23,松戸競輪,7,Ｓ級予選,1-3,1-2-7,2-3-4-6,3,7,2,1,1,1,1,9
3120240123010008,2024-01-23,松戸競輪,8,Ｓ級予選,1-7,1-2-7,1-2-5-6,7,1,4,1,1,0,0,9
3120240123010009,2024-01-23,松戸競輪,9,Ｓ級予選,2,2-4-5,1-2-3-6,4,6,3,0,0,1,0,8
3120240123010010,2024-01-23,松戸競輪,10,Ｓ級予選,3,3-5,2-5-7,6,5,2,0,1,1,0,6
3120240123010011,2024-01-23,松戸競輪,11,Ｓ級予選,1-7,3-7,1-4-5,1,7,4,1,1,1,1,7
3120240123010012,2024-01-23,松戸競輪,12,Ｓ級初特選,1-2,1-4,3-6-7,2,4,6,1,1,1,1,7
2420240122030005,2024-01-24,宇都宮競輪,5,Ｓ級一般,2,1-6-7,2-4-5,2,7,1,1,1,0,0,7
2420240122030006,2024-01-24,宇都宮競輪,6,Ｓ級一般,7,1-7,2-6-7,1,4,5,0,0,0,0,6
2420240122030007,2024-01-24,宇都宮競輪,7,Ｓ級一般,2-3,1-3-4,4-5-6-7,4,3,5,0,1,1,0,9
2420240122030008,2024-01-24,宇都宮競輪,8,Ｓ級特選,2-7,1-7,1-2-3-7,3,2,6,0,0,0,0,8
2420240122030009,2024-01-24,宇都宮競輪,9,Ｓ級特選,3-6,1-4-7,3-5-7,5,6,7,0,0,1,0,8
2420240122030010,2024-01-24,宇都宮競輪,10,Ｓ級特選,2,2-4-5,1-5-7,5,3,7,0,0,1,0,7
2420240122030012,2024-01-24,宇都宮競輪,12,Ｓ級決勝,2-3,3-7,2-3-4-7,4,1,5,0,0,0,0,8
3120240123020006,2024-01-24,松戸競輪,6,Ｓ級一般,4,3-4,2-5-6,2,4,6,0,1,1,0,6
3120240123020007,2024-01-24,松戸競輪,7,Ｓ級一般,1,1-2-7,2-3-7,6,1,7,0,1,1,0,7
3120240123020008,2024-01-24,松戸競輪,8,Ｓ級選抜,2-4,1-2-3,2-5-6-7,3,1,5,0,1,1,0,9
3120240123020009,2024-01-24,松戸競輪,9,Ｓ級選抜,5,2-3-5,1-2-4-7,5,6,1,1,0,1,0,8
3120240123020010,2024-01-24,松戸競輪,10,Ｓ級準決勝,4-5,1-2,1-2-4-5,3,5,2,0,0,1,0,8
3120240123020011,2024-01-24,松戸競輪,11,Ｓ級準決勝,2-3,1-2-7,1-4-7,6,2,3,0,1,0,0,8
3120240123020012,2024-01-24,松戸競輪,12,Ｓ級準決勝,1,1-7,4-5-7,7,1,2,0,1,0,0,6
4320240125010008,2024-01-25,岐阜競輪,8,Ｓ級予選,1,3-4,1-5-6-7,5,1,7,0,0,1,0,7
4320240125010009,2024-01-25,岐阜競輪,9,Ｓ級予選,5,1-5-6,2-3-7,1,5,7,0,1,1,0,7
4320240125010010,2024-01-25,岐阜競輪,10,Ｓ級予選,2-5,2-5,1-5-7,7,5,1,0,1,1,0,7
4320240125010011,2024-01-25,岐阜競輪,11,Ｓ級予選,1-3,5-6-7,1-5-6-7,3,5,1,1,1,1,1,9
4320240125010012,2024-01-25,岐阜競輪,12,Ｓ級初日特選,5,1-5,2-3-4-6,2,1,6,0,1,1,0,7
3120240123030005,2024-01-25,松戸競輪,5,Ｓ級一般,3-6,2-3-7,1-3-4-5,4,5,2,0,0,0,0,9
3120240123030006,2024-01-25,松戸競輪,6,Ｓ級一般,1,1-2-7,2-5-6-7,5,1,2,0,1,1,0,8
3120240123030007,2024-01-25,松戸競輪,7,Ｓ級一般,1-5,1-2-5,1-3-4-6,5,4,2,1,0,0,0,9
3120240123030008,2024-01-25,松戸競輪,8,Ｓ級特選,1-6,3-4-7,3-4-7,1,4,7,1,1,1,1,8
3120240123030009,2024-01-25,松戸競輪,9,Ｓ級特選,1-5,2-5,1-2-3-7,1,5,2,1,1,1,1,8
3120240123030010,2024-01-25,松戸競輪,10,Ｓ級特選,1-6,1-5,1-2-3-5,7,1,4,0,1,0,0,8
3120240123030012,2024-01-25,松戸競輪,12,Ｓ級決勝,1-2,4-5,2-3-4-6,5,1,3,0,0,1,0,8
8320240126010006,2024-01-26,久留米競輪,6,Ｓ級予選,2-4,1-4-7,2-4-5-7,5,1,7,0,1,1,0,9
8320240126010007,2024-01-26,久留米競輪,7,Ｓ級予選,2,2-5,1-2-3-6,3,7,5,0,0,0,0,7
8320240126010008,2024-01-26,久留米競輪,8,Ｓ級予選,2-5,1-3-5,4-5-6,2,5,7,1,1,0,0,8
8320240126010009,2024-01-26,久留米競輪,9,Ｓ級予選,7,1-4-7,2-3-4-6,7,3,2,1,0,1,0,8
8320240126010010,2024-01-26,久留米競輪,10,Ｓ級予選,4-5,1-4-5,1-2-3-4,4,2,5,1,0,0,0,9
8320240126010011,2024-01-26,久留米競輪,11,Ｓ級予選,1,1-4-5,3-5-7,4,1,6,0,1,0,0,7
8320240126010012,2024-01-26,久留米競輪,12,Ｓ級初特選,3,5-6-7,2-3-6-7,5,2,7,0,0,1,0,8
4320240125020008,2024-01-26,岐阜競輪,8,Ｓ級一般,2-6,1-6-7,2-3-4-7,2,7,4,1,1,1,1,9
4320240125020009,2024-01-26,岐阜競輪,9,Ｓ級一般,1-3,1-4-7,2-4-5-6,4,2,7,0,0,0,0,9
4320240125020010,2024-01-26,岐阜競輪,10,Ｓ級準決勝,1-3,1-3-6,1-4-7,7,3,5,0,1,0,0,8
4320240125020011,2024-01-26,岐阜競輪,11,Ｓ級準決勝,1,5-7,2-4-5-7,5,1,2,0,0,1,0,7
4320240125020012,2024-01-26,岐阜競輪,12,Ｓ級準決勝,1-6,1-3-6,1-3-4-7,3,1,7,0,1,1,0,9
8320240126020006,2024-01-27,久留米競輪,6,Ｓ級一般,1-3,3-5-7,2-5-7,5,3,4,0,1,0,0,8
8320240126020007,2024-01-27,久留米競輪,7,Ｓ級一般,3-4,1-4-7,2-5-6-7,3,7,5,1,1,1,1,9
8320240126020008,2024-01-27,久留米競輪,8,Ｓ級選抜,2,2-3-5,1-2-4-5,2,5,4,1,1,1,1,8
8320240126020009,2024-01-27,久留米競輪,9,Ｓ級選抜,1,1-4-6,2-3-4-5,1,5,4,1,0,1,0,8
8320240126020010,2024-01-27,久留米競輪,10,Ｓ級準決勝,4,1-2-7,3-4-6-7,4,6,1,1,0,0,0,8
8320240126020011,2024-01-27,久留米競輪,11,Ｓ級準決勝,5,2-6-7,1-2-3-7,2,3,7,0,0,1,0,8
8320240126020012,2024-01-27,久留米競輪,12,Ｓ級準決勝,1-3,1-3-7,1-3-4-5,7,1,5,0,1,1,0,9
4320240125030006,2024-01-27,岐阜競輪,6,Ｓ級一般,3-4,1-2-5,1-2-3-4,4,5,3,1,1,1,1,9
4320240125030007,2024-01-27,岐阜競輪,7,Ｓ級一般,1,2-3,2-3-5-7,5,1,2,0,0,1,0,7
4320240125030008,2024-01-27,岐阜競輪,8,Ｓ級特選,2-4,2-4,1-3-4-5,5,2,4,0,1,1,0,8
4320240125030009,2024-01-27,岐阜競輪,9,Ｓ級特選,1-5,1-2-7,4-5-6-7,1,7,5,1,1,1,1,9
4320240125030012,2024-01-27,岐阜競輪,12,Ｓ級決勝,7,2-5-7,1-2-4-5,5,7,3,0,1,0,0,8
8320240126030005,2024-01-28,久留米競輪,5,Ｓ級一般,1-3,1-2-3,2-5-6-7,7,1,3,0,1,0,0,9
