race_id,race_date,track,race_no,race_type,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
2220240218020008,2024-02-19,前橋競輪,8,Ｓ級選抜,2,4-5,1-2-4-6,1,7,3,0,0,0,0,7
2220240218020009,2024-02-19,前橋競輪,9,Ｓ級選抜,1-4,2-4-5,2-5-6-7,4,1,7,1,0,1,0,9
2220240218020010,2024-02-19,前橋競輪,10,Ｓ級準決勝,2-3,1-2-3,1-4-5-7,3,5,1,1,0,1,0,9
2220240218020011,2024-02-19,前橋競輪,11,Ｓ級準決勝,1,1-5,1-4-5-7,2,1,4,0,1,1,0,7
2220240218020012,2024-02-19,前橋競輪,12,Ｓ級準決勝,2-3,2-3-5,2-3-4-7,5,2,7,0,1,1,0,9
4520240217030008,2024-02-19,豊橋競輪,8,Ｓ級特選,2-4,4-7,4-6-7,4,1,7,1,0,1,0,7
4520240217030009,2024-02-19,豊橋競輪,9,Ｓ級特選,2-3,1-4-7,1-2-4-7,3,5,4,1,0,1,0,9
4520240217030010,2024-02-19,豊橋競輪,10,Ｓ級特選,2,3-4,3-5-7,2,5,3,1,0,1,0,6
4520240217030012,2024-02-19,豊橋競輪,12,Ｓ級決勝,2,1-2-7,1-2-5-7,2,7,6,1,1,0,0,8
2220240218030008,2024-02-20,前橋競輪,8,Ｓ級特選,1-7,2-5-7,1-2-3-6,1,4,5,1,0,0,0,9
2220240218030009,2024-02-20,前橋競輪,9,Ｓ級特選,7,2-3-5,2-3-4,3,7,1,0,0,0,0,7
2220240218030010,2024-02-20,前橋競輪,10,Ｓ級特選,5,1-3-4,1-3-4-6,4,7,1,0,0,1,0,8
2220240218030012,2024-02-20,前橋競輪,12,Ｓ級決勝,2,1-4-7,1-4-6-7,3,4,1,0,1,1,0,8
4820240220010008,2024-02-20,四日市競輪,8,Ｓ級予選,1-4,1-2,2-5-7,4,5,1,1,0,0,0,7
4820240220010009,2024-02-20,四日市競輪,9,Ｓ級予選,1-7,2-3-5,1-2-3,1,5,7,1,1,0,0,8
4820240220010010,2024-02-20,四日市競輪,10,Ｓ級予選,2,2-7,3-5-7,7,2,3,0,1,1,0,6
4820240220010011,2024-02-20,四日市競輪,11,Ｓ級予選,2,5-7,1-4-5,5,2,4,0,0,1,0,6
4820240220010012,2024-02-20,四日市競輪,12,Ｓ級初日特選,1,1-6-7,1-5-6-7,1,5,7,1,0,1,0,8
4820240220020008,2024-02-21,四日市競輪,8,Ｓ級一般,4-5,2-5-6,1-2-7,2,5,6,0,1,0,0,8
4820240220020009,2024-02-21,四日市競輪,9,Ｓ級一般,2-5,2-5-7,2-3-4-6,7,3,5,0,0,0,0,9
4820240220020010,2024-02-21,四日市競輪,10,Ｓ級準決勝,4,1-2,2-4-7,1,7,6,0,0,0,0,6
4820240220020011,2024-02-21,四日市競輪,11,Ｓ級準決勝,2-7,1-2-5,3-4-5-7,1,5,2,0,1,0,0,9
4820240220020012,2024-02-21,四日市競輪,12,Ｓ級準決勝,4,1-5,1-2-5,4,1,7,1,1,0,0,6
3620240221010006,2024-02-21,小田原競輪,6,Ｓ級予選,2,1-3,3-4-5-7,7,4,5,0,0,1,0,7
3620240221010007,2024-02-21,小田原競輪,7,Ｓ級予選,5-7,1-7,1-2-6,5,6,4,1,0,0,0,7
3620240221010008,2024-02-21,小田原競輪,8,Ｓ級予選,4,2-3,2-3-4-5,3,7,5,0,0,1,0,7
3620240221010009,2024-02-21,小田原競輪,9,Ｓ級予選,5-7,2-7,2-3-4,2,5,7,0,0,0,0,7
3620240221010010,2024-02-21,小田原競輪,10,Ｓ級予選,1,1-2-7,1-4-5-6,6,1,3,0,1,0,0,8
3620240221010011,2024-02-21,小田原競輪,11,Ｓ級予選,1,1-4-5,1-5-6-7,1,7,2,1,0,0,0,8
3620240221010012,2024-02-21,小田原競輪,12,Ｓ級初特選,1-2,1-5-7,1-2-4-7,1,4,5,1,0,0,0,9
4820240220030008,2024-02-22,四日市競輪,8,Ｓ級特選,3,1-3-4,2-5-6-7,4,5,2,0,0,1,0,8
4820240220030009,2024-02-22,四日市競輪,9,Ｓ級特選,3,2-4-7,2-4-7,2,6,5,0,0,0,0,7
4820240220030012,2024-02-22,四日市競輪,12,Ｓ級決勝,7,2-3,1-3-5-6,7,3,2,1,1,0,0,7
3620240221020006,2024-02-22,小田原競輪,6,Ｓ級一般,2-4,2-5,1-4-5-7,5,4,1,0,0,1,0,8
