race_id,race_date,track,race_no,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
8320240225020008,2024-02-26,久留米競輪,8,1-4,1-3-4,2-3-4-5,7,2,3,0,0,1,0,9
8320240225020009,2024-02-26,久留米競輪,9,3,3-5,1-3-4-7,5,3,2,0,1,0,0,7
8320240225020010,2024-02-26,久留米競輪,10,2,1-5,2-4-6-7,7,3,1,0,0,0,0,7
8320240225020011,2024-02-26,久留米競輪,11,1,1-5,2-3-4-5,5,1,6,0,1,0,0,7
8320240225020012,2024-02-26,久留米競輪,12,4,1-2,1-2-5-6,4,5,1,1,0,1,0,7
4320240225020006,2024-02-26,岐阜競輪,6,3-7,3-7,1-2-5,7,3,6,1,1,0,0,7
4320240225020007,2024-02-26,岐阜競輪,7,1,1-5-7,3-4-6-7,1,7,3,1,1,1,1,8
4320240225020008,2024-02-26,岐阜競輪,8,1-2,4-5-6,1-2-3-6,4,5,1,0,1,1,0,9
4320240225020009,2024-02-26,岐阜競輪,9,1,3-7,3-4-5-7,3,2,4,0,0,1,0,7
4320240225020010,2024-02-26,岐阜競輪,10,1-5,2-7,3-5-7,7,5,2,0,0,0,0,7
4320240225020011,2024-02-26,岐阜競輪,11,1,4-5-7,1-2-4-5,5,1,4,0,0,1,0,8
4320240225020012,2024-02-26,岐阜競輪,12,1,1-4,1-3-4-6,1,4,7,1,1,0,0,7
2620240226010006,2024-02-26,西武園競輪,6,2-4,1-2-4,3-4-5,4,2,1,1,1,0,0,8
2620240226010007,2024-02-26,西武園競輪,7,1-5,2-5-7,1-4-5-7,7,5,3,0,1,0,0,9
2620240226010008,2024-02-26,西武園競輪,8,1,4-7,2-4-7,7,1,2,0,0,1,0,6
2620240226010009,2024-02-26,西武園競輪,9,4,2-3-5,1-4-5,5,4,2,0,0,0,0,7
2620240226010010,2024-02-26,西武園競輪,10,1-2,1-3-5,2-3-4-5,1,4,5,1,0,1,0,9
2620240226010011,2024-02-26,西武園競輪,11,2-5,2-3-5,1-3-4-5,1,5,2,0,1,0,0,9
2620240226010012,2024-02-26,西武園競輪,12,2,2-5-6,2-3-6,1,7,3,0,0,1,0,7
8320240225030007,2024-02-27,久留米競輪,7,4,1-4-7,3-5-6-7,4,3,5,1,0,1,0,8
8320240225030008,2024-02-27,久留米競輪,8,4,2-4,3-5-7,1,6,4,0,0,0,0,6
8320240225030009,2024-02-27,久留米競輪,9,4,1-5-7,2-4-5-7,6,3,7,0,0,1,0,8
8320240225030010,2024-02-27,久留米競輪,10,1-3,1-7,3-5-6-7,1,7,4,1,1,0,0,8
8320240225030012,2024-02-27,久留米競輪,12,3,3-4-5,3-4-5-7,1,4,6,0,1,0,0,8
4320240225030008,2024-02-27,岐阜競輪,8,2,5-6-7,2-3-7,4,5,1,0,1,0,0,7
4320240225030009,2024-02-27,岐阜競輪,9,7,1-4-7,1-3-5-6,1,4,2,0,1,0,0,8
4320240225030010,2024-02-27,岐阜競輪,10,2-7,2-7,1-2-5-6,7,3,1,1,0,1,0,8
4320240225030012,2024-02-27,岐阜競輪,12,1-3,1-3-7,1-4-5-6,1,2,7,1,0,0,0,9
2620240226020006,2024-02-27,西武園競輪,6,3,3-5-7,1-2-5,3,1,7,1,0,0,0,7
2620240226020007,2024-02-27,西武園競輪,7,1-3,3-5-7,1-5-6-7,1,5,3,1,1,0,0,9
2620240226020008,2024-02-27,西武園競輪,8,2,2-4-6,3-6-7,2,4,6,1,1,1,1,7
2620240226020009,2024-02-27,西武園競輪,9,1-3,4-5-7,1-2-5-7,7,3,4,0,0,0,0,9
2620240226020010,2024-02-27,西武園競輪,10,1,3-6,1-2-3-7,3,4,1,0,0,1,0,7
2620240226020011,2024-02-27,西武園競輪,11,1-2,5-6-7,1-4-5-6,3,5,2,0,1,0,0,9
2620240226020012,2024-02-27,西武園競輪,12,5,1-4-5,1-2-3-4,2,6,3,0,0,1,0,8
8520240228010006,2024-02-28,佐世保競輪,6,3-7,4-5,1-5-6-7,3,4,5,1,1,1,1,8
8520240228010007,2024-02-28,佐世保競輪,7,2-5,4-5-7,3-4-5-7,3,4,7,0,1,1,0,9
8520240228010008,2024-02-28,佐世保競輪,8,2,2-4-7,1-5-7,4,2,7,0,1,1,0,7
8520240228010009,2024-02-28,佐世保競輪,9,4,2-3-4,1-2-6-7,5,3,2,0,1,1,0,8
8520240228010010,2024-02-28,佐世保競輪,10,1-4,1-4-6,1-6-7,4,3,1,1,0,1,0,8
8520240228010011,2024-02-28,佐世保競輪,11,1,1-4,3-5-6-7,5,4,7,0,1,1,0,7
8520240228010012,2024-02-28,佐世保競輪,12,1-2,2-4,1-5-7,6,7,5,0,0,1,0,7
2620240226030005,2024-02-28,西武園競輪,5,3,3-4-5,1-2-3-4,1,2,4,0,0,1,0,8
2620240226030006,2024-02-28,西武園競輪,6,2-6,2-4,3-5-6-7,6,2,4,1,1,0,0,8
2620240226030007,2024-02-28,西武園競輪,7,2,3-5-7,1-2-5-6,2,7,5,1,1,1,1,8
2620240226030008,2024-02-28,西武園競輪,8,5,2-5-7,1-3-4-7,4,5,6,0,1,0,0,8
