race_id,race_date,track,race_no,participate,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells
2720240304010006,2024-03-04,京王閣競輪,6,0,1-5,3-4-7,2-3-4,1,3,7,1,1,0,0,8
2720240304010007,2024-03-04,京王閣競輪,7,0,2-5,2-4-5,1-2-4,5,1,7,1,0,0,0,8
2720240304010008,2024-03-04,京王閣競輪,8,0,1,3-4-7,1-3-4-5,1,2,7,1,0,0,0,8
2720240304010009,2024-03-04,京王閣競輪,9,0,1-2,1-5,1-2-4,5,1,3,0,1,0,0,7
2720240304010010,2024-03-04,京王閣競輪,10,0,2-7,2-7,1-2-4-5,7,3,5,1,0,1,0,8
2720240304010011,2024-03-04,京王閣競輪,11,0,1-5,1-5,2-3-4,5,1,2,1,1,1,1,7
2720240304010012,2024-03-04,京王閣競輪,12,1,5,2-7,2-5-7,5,7,4,1,1,0,0,6
5420240304010006,2024-03-04,向日町競輪,6,0,2-5,1-3-5,1-2-3-5,7,2,1,0,0,1,0,9
5420240304010007,2024-03-04,向日町競輪,7,0,2-4,3-4-5,2-4-5,2,4,5,1,1,1,1,8
5420240304010008,2024-03-04,向日町競輪,8,1,1,2-5,1-2-3-5,1,5,3,1,1,1,1,7
5420240304010009,2024-03-04,向日町競輪,9,0,2,4-5-7,1-2-3-7,2,5,7,1,1,1,1,8
5420240304010010,2024-03-04,向日町競輪,10,0,1-2,1-5-7,2-3-5-7,2,5,4,1,1,0,0,9
5420240304010011,2024-03-04,向日町競輪,11,1,4,1-3-4,1-3-5,4,1,5,1,1,1,1,7
5420240304010012,2024-03-04,向日町競輪,12,1,1,4-5-7,1-3-4,6,4,2,0,1,0,0,7
2720240304020006,2024-03-05,京王閣競輪,6,0,4-5,2-4-5,1-2-3,1,5,4,0,1,0,0,8
2720240304020007,2024-03-05,京王閣競輪,7,0,1,2-3-4,1-2-4-5,1,4,2,1,1,1,1,8
2720240304020008,2024-03-05,京王閣競輪,8,0,1-3,1-3-5,2-3-5,5,1,4,0,1,0,0,8
2720240304020009,2024-03-05,京王閣競輪,9,1,1,3-4-5,1-4-5,4,3,2,0,1,0,0,7
2720240304020010,2024-03-05,京王閣競輪,10,0,1-2,1-5,1-2-3,5,1,2,0,1,1,0,7
2720240304020011,2024-03-05,京王閣競輪,11,0,1-3,1-3-5,1-3-5,2,1,5,0,1,1,0,8
2720240304020012,2024-03-05,京王閣競輪,12,0,2,4-5-7,2-4-5-7,2,7,1,1,1,0,0,8
5420240304020006,2024-03-05,向日町競輪,6,0,4-5,4-5,1-2-3-4,5,4,2,1,1,1,1,8
5420240304020007,2024-03-05,向日町競輪,7,0,1,1-2-5,1-3-4-7,1,4,7,1,0,1,0,8
5420240304020008,2024-03-05,向日町競輪,8,0,1,1-4-5,1-2-3-5,1,4,5,1,1,1,1,8
5420240304020009,2024-03-05,向日町競輪,9,0,2-5,2-5,1-2-3,2,5,4,1,1,0,0,7
5420240304020010,2024-03-05,向日町競輪,10,0,1,4-7,1-2-7,7,3,1,0,0,1,0,6
5420240304020011,2024-03-05,向日町競輪,11,1,2,1-2-4,1-4-6,1,7,5,0,0,0,0,7
5420240304020012,2024-03-05,向日町競輪,12,0,1-5,3-4-5,3-4-5,4,1,5,0,0,1,0,8
2720240304030005,2024-03-06,京王閣競輪,5,0,7,1-3-5,1-4-5,2,5,3,0,1,0,0,7
2720240304030006,2024-03-06,京王閣競輪,6,0,1-7,1-5-7,1-2-3-4,7,1,4,1,1,1,1,9
2720240304030007,2024-03-06,京王閣競輪,7,0,2,3-5-7,2-4-5-6,5,2,3,0,0,0,0,8
2720240304030008,2024-03-06,京王閣競輪,8,0,2,1-2-3,1-2-4-5,4,7,2,0,0,1,0,8
2720240304030009,2024-03-06,京王閣競輪,9,0,4,1-4-5,1-2-3-7,3,5,4,0,1,0,0,8
2720240304030010,2024-03-06,京王閣競輪,10,0,1-7,1-4-7,1-2-4,7,4,1,1,1,1,1,8
2720240304030012,2024-03-06,京王閣競輪,12,0,2-4,3-4,2-3-5,4,5,2,1,0,1,0,7
5420240304030005,2024-03-06,向日町競輪,5,1,7,2-4-5,2-3-5,3,6,4,0,0,0,0,7
5420240304030006,2024-03-06,向日町競輪,6,0,1-5,1-3-5,1-2-3,5,1,3,1,1,1,1,8
5420240304030007,2024-03-06,向日町競輪,7,0,1-7,4-5-7,1-2-4,4,1,7,0,0,0,0,8
5420240304030008,2024-03-06,向日町競輪,8,1,2,2-5-7,3-5-7,1,6,3,0,0,1,0,7
5420240304030009,2024-03-06,向日町競輪,9,0,1-7,1-3-7,1-3-4-7,1,2,4,1,0,1,0,9
5420240304030010,2024-03-06,向日町競輪,10,1,3,2-3-5,1-2-3-4,3,5,6,1,1,0,0,8
