race_id,race_date,track,race_no,participate,first_candidates,second_candidates,third_candidates,actual_1st,actual_2nd,actual_3rd,hit_1st,hit_2nd,hit_3rd,complete_capture,candidate_cells,first_gap,line_strength_spread
8620240311010008,2024-03-11,別府競輪,8,1,1,1-2-4,2-3-4-7,1,4,7,1,1,1,1,8,41.100444364046304,7.486666666666665
8620240311010009,2024-03-11,別府競輪,9,1,2-3,2-3,1-3-4-7,4,1,5,0,0,0,0,8,8.38869974167001,16.3925
8620240311010010,2024-03-11,別府競輪,10,1,1-2,1-2-5,1-4-5-7,2,1,4,1,1,1,1,9,3.6851549179374103,18.039999999999992
8620240311010011,2024-03-11,別府競輪,11,1,4-7,1-4-7,2-4-5,4,7,2,1,1,1,1,8,3.861921813207829,17.72166666666665
8620240311010012,2024-03-11,別府競輪,12,1,3-4,3-4,1-2-4-6,4,2,7,1,0,0,0,8,8.995887520156202,31.292500000000018
4820240309030006,2024-03-11,四日市競輪,6,1,2-4,1-2-5,3-4-5-6,4,7,1,1,0,0,0,9,13.0094598811841,9.409999999999997
4820240309030007,2024-03-11,四日市競輪,7,0,1,2-4-5,2-3-5,4,1,2,0,0,1,0,7,23.40177474997543,110.41999999999999
4820240309030008,2024-03-11,四日市競輪,8,1,1-4,1-4,1-4-5,1,7,4,1,0,1,0,7,4.35858555652851,16.66000000000001
4820240309030009,2024-03-11,四日市競輪,9,1,2,1-5,3-4-5,1,3,4,0,0,1,0,6,19.527042505518295,9.283333333333331
4820240309030010,2024-03-11,四日市競輪,10,1,1-7,1-2-4,2-3-4,7,4,2,1,1,1,1,8,1.3637739757755014,9.00333333333333
4820240309030012,2024-03-11,四日市競輪,12,1,1-3,1-3,1-3-4-5,1,7,6,1,0,0,0,8,17.22124781011651,15.640000000000015
5120240311010006,2024-03-11,福井競輪,6,1,4-5,1-5,2-3-4,2,5,4,0,1,1,0,7,16.7285956742207,10.48666666666665
5120240311010007,2024-03-11,福井競輪,7,1,1,1-2-7,4-5-7,7,1,4,0,1,1,0,7,34.13524835229509,0.9849999999999994
5120240311010008,2024-03-11,福井競輪,8,1,1-7,1-3-4,2-3-5-7,1,4,2,1,1,1,1,9,16.570884744909208,17.221666666666664
5120240311010009,2024-03-11,福井競輪,9,1,3,3-4-7,1-4-5-7,1,7,4,0,1,1,0,8,20.271401763433786,16.543333333333337
5120240311010010,2024-03-11,福井競輪,10,0,2,1-5,1-2-3-5,2,5,7,1,1,0,0,7,31.356622104522998,29.154999999999987
5120240311010011,2024-03-11,福井競輪,11,0,2,2-4-7,2-4-5-6,7,2,4,0,1,1,0,8,23.845446205383354,10.810000000000002
5120240311010012,2024-03-11,福井競輪,12,1,1,2-4,1-2-3-7,4,1,2,0,0,1,0,7,40.19169560126006,10.703333333333333
8620240311020010,2024-03-12,別府競輪,10,1,1-2,1-2-5,1-3-4-5,1,7,5,1,0,1,0,9,9.756323104271985,24.510000000000005
8620240311020011,2024-03-12,別府競輪,11,1,1-7,1-7,2-4-5,1,7,4,1,1,1,1,7,5.85918961369552,11.819999999999993
8620240311020012,2024-03-12,別府競輪,12,0,1,1-3-4,3-4-7,1,7,4,1,0,1,0,7,27.587194664051253,25.686666666666667
4320240312010006,2024-03-12,岐阜競輪,6,1,1-5,1-5,1-4-7,5,7,3,1,0,0,0,7,4.554313445856522,11.428333333333313
4320240312010007,2024-03-12,岐阜競輪,7,1,1-5,1-5,1-3-4-5,1,5,7,1,1,0,0,8,8.398781160003352,13.329999999999998
4320240312010008,2024-03-12,岐阜競輪,8,1,4-5,1-4-6,2-4-5-7,1,4,2,0,1,1,0,9,8.596157459918942,12.990000000000009
4320240312010009,2024-03-12,岐阜競輪,9,0,2,2-5,1-4-5-7,2,4,3,1,0,0,0,7,28.938347461986325,16.25499999999998
4320240312010010,2024-03-12,岐阜競輪,10,1,1,3-4,2-4-7,1,3,4,1,1,1,1,6,27.14715297463937,0.21666666666666856
4320240312010011,2024-03-12,岐阜競輪,11,1,3-4,3-4,3-4-5,2,3,5,0,1,1,0,7,0.8314240890657487,28.845
4320240312010012,2024-03-12,岐阜競輪,12,1,1-4,1-4-5,1-5-6,3,1,5,0,1,1,0,8,9.970262860419098,25.765
5120240311020006,2024-03-12,福井競輪,6,1,1,3-5-7,1-4-5-7,1,5,7,1,1,1,1,8,21.36537770103601,19.25
5120240311020007,2024-03-12,福井競輪,7,1,3-5,1-3-7,1-3-5,5,6,1,1,0,1,0,8,8.972819630858268,16.476666666666674
5120240311020008,2024-03-12,福井競輪,8,1,3-7,1-3-7,1-3-6-7,1,3,4,0,1,0,0,9,2.5968220536963855,11.786666666666676
5120240311020009,2024-03-12,福井競輪,9,0,2,3-5-7,3-4-5,2,5,7,1,1,0,0,7,37.60804131064754,20.315000000000012
5120240311020010,2024-03-12,福井競輪,10,1,1,2-3-4,2-3-4-6,2,7,3,0,0,1,0,8,21.22132502036972,5.448333333333338
5120240311020011,2024-03-12,福井競輪,11,0,7,2-4-5,1-3-4-5,1,2,7,0,1,0,0,8,23.346487614835326,15.556666666666658
5120240311020012,2024-03-12,福井競輪,12,1,1-7,1-4-7,2-4-5,7,4,1,1,1,0,0,8,16.987996492992295,15.296666666666667
8620240311030008,2024-03-13,別府競輪,8,0,1,3-6-7,1-3-4-5,1,3,2,1,1,0,0,8,29.90009467034082,20.305000000000007
8620240311030009,2024-03-13,別府競輪,9,0,1,1-4-7,4-5-7,1,7,4,1,1,1,1,7,43.283305583037404,22.481666666666683
8620240311030012,2024-03-13,別府競輪,12,1,1-7,1-5-7,3-4-5-7,7,5,4,1,1,1,1,9,10.21788547274133,37.82000000000002
4320240312020006,2024-03-13,岐阜競輪,6,1,1,1-5-7,1-2-4-5,2,6,1,0,0,1,0,8,35.10280896594385,5.553333333333342
4320240312020007,2024-03-13,岐阜競輪,7,1,2-7,2-7,2-5-6,7,2,3,1,1,0,0,7,4.215620968348745,30.98166666666667
4320240312020008,2024-03-13,岐阜競輪,8,0,2,1-2-4,1-3-4-7,7,1,6,0,1,0,0,8,35.048337457864875,20.745000000000005
4320240312020009,2024-03-13,岐阜競輪,9,1,1-4,1-4-7,3-4-5,1,4,7,1,1,0,0,8,7.665111470689979,7.243333333333325
